country,issue,month,rate
DZ,biodiversity,2017-11,25.0
AR,biodiversity,2017-11,18.0
AU,biodiversity,2017-11,15.0
BD,biodiversity,2017-11,8.0
BE,biodiversity,2017-11,9.0
BO,biodiversity,2017-11,45.0
BR,biodiversity,2017-11,12.0
CA,biodiversity,2017-11,13.0
CL,biodiversity,2017-11,15.0
CO,biodiversity,2017-11,43.0
CR,biodiversity,2017-11,27.0
CZ,biodiversity,2017-11,0.0
DK,biodiversity,2017-11,6.0
DO,biodiversity,2017-11,56.0
EC,biodiversity,2017-11,68.0
EG,biodiversity,2017-11,3.0
ET,biodiversity,2017-11,89.0
FI,biodiversity,2017-11,6.0
FR,biodiversity,2017-11,12.0
DE,biodiversity,2017-11,3.0
GH,biodiversity,2017-11,21.0
HN,biodiversity,2017-11,0.0
HK,biodiversity,2017-11,9.0
IN,biodiversity,2017-11,20.0
ID,biodiversity,2017-11,17.0
IR,biodiversity,2017-11,2.0
IE,biodiversity,2017-11,9.0
IT,biodiversity,2017-11,5.0
JP,biodiversity,2017-11,3.0
KE,biodiversity,2017-11,19.0
MY,biodiversity,2017-11,7.0
MX,biodiversity,2017-11,100.0
MA,biodiversity,2017-11,8.0
NP,biodiversity,2017-11,36.0
NL,biodiversity,2017-11,4.0
NZ,biodiversity,2017-11,10.0
NG,biodiversity,2017-11,6.0
NO,biodiversity,2017-11,7.0
PK,biodiversity,2017-11,11.0
PA,biodiversity,2017-11,37.0
PE,biodiversity,2017-11,43.0
PH,biodiversity,2017-11,34.0
PL,biodiversity,2017-11,4.0
PT,biodiversity,2017-11,11.0
RO,biodiversity,2017-11,0.0
RU,biodiversity,2017-11,2.0
SA,biodiversity,2017-11,6.0
SG,biodiversity,2017-11,11.0
ZA,biodiversity,2017-11,16.0
KR,biodiversity,2017-11,9.0
ES,biodiversity,2017-11,7.0
LK,biodiversity,2017-11,0.0
SE,biodiversity,2017-11,10.0
CH,biodiversity,2017-11,9.0
TW,biodiversity,2017-11,5.0
TH,biodiversity,2017-11,19.0
TR,biodiversity,2017-11,5.0
UA,biodiversity,2017-11,2.0
AE,biodiversity,2017-11,8.0
GB,biodiversity,2017-11,6.0
US,biodiversity,2017-11,8.0
VE,biodiversity,2017-11,53.0
VN,biodiversity,2017-11,5.0
AF,biodiversity,2017-11,0.0
AX,biodiversity,2017-11,0.0
AL,biodiversity,2017-11,0.0
AS,biodiversity,2017-11,0.0
AD,biodiversity,2017-11,0.0
AO,biodiversity,2017-11,0.0
AI,biodiversity,2017-11,0.0
AG,biodiversity,2017-11,0.0
AM,biodiversity,2017-11,0.0
AW,biodiversity,2017-11,0.0
AT,biodiversity,2017-11,3.0
AZ,biodiversity,2017-11,0.0
BS,biodiversity,2017-11,0.0
BH,biodiversity,2017-11,0.0
BB,biodiversity,2017-11,0.0
BY,biodiversity,2017-11,0.0
BZ,biodiversity,2017-11,0.0
BJ,biodiversity,2017-11,0.0
BM,biodiversity,2017-11,0.0
BT,biodiversity,2017-11,0.0
BA,biodiversity,2017-11,0.0
BW,biodiversity,2017-11,0.0
BV,biodiversity,2017-11,0.0
IO,biodiversity,2017-11,0.0
VG,biodiversity,2017-11,0.0
BN,biodiversity,2017-11,0.0
BG,biodiversity,2017-11,0.0
BF,biodiversity,2017-11,0.0
