count,country,day,issue,language,month,species
7,US,2017-10-17,climate change,en,2017-10,
1,DE,2017-10-17,climate change,en,2017-10,
1,TR,2017-10-17,extinction,tr,2017-10,
1,YE,2017-10-17,desertification,ur,2017-10,
1,IN,2017-10-17,climate change,en,2017-10,
1,US,2017-10-17,invasive species,en,2017-10,
1,ES,2017-10-17,extinction,es,2017-10,
2,US,2017-10-17,biodiversity,en,2017-10,
5,US,2017-10-17,sustainability,en,2017-10,
2,DE,2017-10-17,ecology,nl,2017-10,
1,AU,2017-10-17,climate change,en,2017-10,
3,IE,2017-10-17,climate change,en,2017-10,
1,CA,2017-10-17,biodiversity,it,2017-10,
1,VE,2017-10-17,climate change,en,2017-10,
1,CO,2017-10-17,sustainability,es,2017-10,
1,AR,2017-10-17,climate change,es,2017-10,
1,GB,2017-10-17,climate change,en,2017-10,
1,US,2017-10-17,endangered species,en,2017-10,
2,GB,2017-10-17,ecology,pt,2017-10,
1,ID,2017-10-17,deforestation,es,2017-10,
1,IT,2017-10-17,biodiversity,es,2017-10,
2,CO,2017-10-18,extinction,en,2017-10,
3,ES,2017-10-18,ecology,es,2017-10,
2,PA,2017-10-18,protected area,es,2017-10,
2,VE,2017-10-18,climate change,es,2017-10,
14,ID,2017-10-18,biosphere,in,2017-10,
2,IT,2017-10-18,deforestation,en,2017-10,
6,AU,2017-10-18,climate change,en,2017-10,
4,CA,2017-10-18,sustainability,en,2017-10,
2,US,2017-10-18,endangered species,en,2017-10,
29,US,2017-10-18,sustainability,en,2017-10,
2,BR,2017-10-18,deforestation,pt,2017-10,
54,US,2017-10-18,climate change,en,2017-10,
12,CA,2017-10-18,climate change,en,2017-10,
1,US,2017-10-18,wildlife trade,en,2017-10,
3,MA,2017-10-18,desertification,ur,2017-10,
1,SG,2017-10-18,sustainability,en,2017-10,
1,EC,2017-10-18,climate change,es,2017-10,
4,VE,2017-10-18,biodiversity,es,2017-10,
4,IN,2017-10-18,climate change,en,2017-10,
5,ID,2017-10-18,,,2017-10,Dracaena cinnabari
2,ES,2017-10-18,extinction,es,2017-10,
1,RU,2017-10-18,extinction,ru,2017-10,
1,BG,2017-10-18,climate change,en,2017-10,
1,MX,2017-10-18,extinction,es,2017-10,
1,DO,2017-10-18,,,2017-10,Rattus norvegicus
4,AU,2017-10-18,biodiversity,en,2017-10,
5,IT,2017-10-18,extinction,it,2017-10,
1,CO,2017-10-18,climate change,es,2017-10,
1,CL,2017-10-18,climate change,es,2017-10,
2,CA,2017-10-18,biosphere,en,2017-10,
1,TR,2017-10-18,ecosystem service,en,2017-10,
1,EC,2017-10-18,extinction,es,2017-10,
1,IN,2017-10-18,ecology,en,2017-10,
2,DE,2017-10-18,climate change,en,2017-10,
2,GB,2017-10-18,endangered species,en,2017-10,
2,IT,2017-10-18,sustainability,it,2017-10,
3,FR,2017-10-18,biodiversity,fr,2017-10,
2,IE,2017-10-18,climate change,en,2017-10,
13,US,2017-10-18,deforestation,en,2017-10,
2,EC,2017-10-18,biodiversity,es,2017-10,
12,FR,2017-10-18,ecology,nl,2017-10,
13,GB,2017-10-18,climate change,en,2017-10,
8,US,2017-10-18,extinction,en,2017-10,
1,SE,2017-10-18,sustainability,en,2017-10,
1,ES,2017-10-18,climate change,en,2017-10,
2,IN,2017-10-18,sustainability,en,2017-10,
1,NL,2017-10-18,sustainability,nl,2017-10,
2,KE,2017-10-18,climate change,en,2017-10,
1,BD,2017-10-18,climate change,en,2017-10,
1,IN,2017-10-18,climate change,ta,2017-10,
1,JP,2017-10-18,climate change,en,2017-10,
1,UY,2017-10-18,,,2017-10,Aloe vera
1,GD,2017-10-18,sustainability,es,2017-10,
2,GB,2017-10-18,extinction,en,2017-10,
1,MY,2017-10-18,,,2017-10,Elephas maximus
3,FR,2017-10-18,ecology,fr,2017-10,
2,AU,2017-10-18,ecology,en,2017-10,
12,ES,2017-10-18,ecology,pt,2017-10,
2,ES,2017-10-18,sustainability,es,2017-10,
1,ES,2017-10-18,deforestation,es,2017-10,
2,IT,2017-10-18,ecology,pt,2017-10,
2,ES,2017-10-18,biodiversity,es,2017-10,
8,GB,2017-10-18,biodiversity,en,2017-10,
2,IN,2017-10-18,biodiversity,en,2017-10,
2,SE,2017-10-18,sustainability,sv,2017-10,
11,ES,2017-10-18,climate change,es,2017-10,
2,US,2017-10-18,biodiversity,en,2017-10,
1,BD,2017-10-18,sustainability,ur,2017-10,
1,DZ,2017-10-18,climate change,en,2017-10,
2,BE,2017-10-18,climate change,en,2017-10,
1,ES,2017-10-18,sustainability,en,2017-10,
2,BR,2017-10-18,ecology,pt,2017-10,
2,EG,2017-10-18,extinction,ar,2017-10,
2,GB,2017-10-18,ecology,en,2017-10,
2,EG,2017-10-18,desertification,ur,2017-10,
3,AU,2017-10-18,sustainability,en,2017-10,
1,GB,2017-10-18,extinction,tr,2017-10,
2,IE,2017-10-18,sustainability,en,2017-10,
1,PH,2017-10-18,ecology,es,2017-10,
1,CA,2017-10-18,biodiversity,fr,2017-10,
2,CA,2017-10-18,ecology,nl,2017-10,
1,CA,2017-10-18,protected area,en,2017-10,
6,US,2017-10-18,ecology,en,2017-10,
2,DE,2017-10-18,sustainability,de,2017-10,
4,GB,2017-10-18,biosphere,en,2017-10,
3,IQ,2017-10-18,desertification,ur,2017-10,
3,ID,2017-10-18,,,2017-10,Aloe vera
1,TN,2017-10-18,desertification,ur,2017-10,
1,SA,2017-10-18,desertification,ur,2017-10,
1,UY,2017-10-18,climate change,es,2017-10,
3,UY,2017-10-18,extinction,es,2017-10,
1,NL,2017-10-18,climate change,en,2017-10,
1,ID,2017-10-18,,,2017-10,Panthera pardus
2,IT,2017-10-18,sustainability,en,2017-10,
1,US,2017-10-18,,,2017-10,Mustela putorius
6,GB,2017-10-18,sustainability,en,2017-10,
1,SV,2017-10-18,ecology,es,2017-10,
1,PH,2017-10-18,,,2017-10,Gulo gulo
1,NL,2017-10-18,sustainability,en,2017-10,
1,GR,2017-10-18,extinction,el,2017-10,
1,FI,2017-10-18,sustainability,fi,2017-10,
1,MY,2017-10-18,endangered species,en,2017-10,
9,BR,2017-10-18,extinction,pt,2017-10,
1,ID,2017-10-18,,,2017-10,Camellia japonica
2,TH,2017-10-18,deforestation,en,2017-10,
1,IT,2017-10-18,deforestation,pt,2017-10,
5,CA,2017-10-18,biodiversity,en,2017-10,
1,MX,2017-10-18,biodiversity,es,2017-10,
5,MX,2017-10-18,climate change,es,2017-10,
1,IL,2017-10-18,sustainability,en,2017-10,
2,SV,2017-10-18,deforestation,en,2017-10,
1,DK,2017-10-18,climate change,en,2017-10,
1,MX,2017-10-18,endemic species,es,2017-10,
1,MX,2017-10-18,endemic species,es,2017-10,
2,BR,2017-10-18,desertification,pt,2017-10,
3,IN,2017-10-18,,,2017-10,Camellia japonica
