count,country,day,issue,language,month
204,US,2017-10-22,extinction,en,2017-10
1,IE,2017-10-22,endangered species,en,2017-10
22,CO,2017-10-22,biodiversity,es,2017-10
2,CO,2017-10-22,sustainability,es,2017-10
102,US,2017-10-22,biodiversity,en,2017-10
3,CN,2017-10-22,endangered species,en,2017-10
64,US,2017-10-22,deforestation,en,2017-10
45,US,2017-10-22,endangered species,en,2017-10
6,NL,2017-10-22,ecology,en,2017-10
41,US,2017-10-22,biodiversity,es,2017-10
12,US,2017-10-22,deforestation,es,2017-10
54,US,2017-10-22,sustainability,es,2017-10
68,US,2017-10-22,climate change,es,2017-10
25,ES,2017-10-22,biodiversity,es,2017-10
6,SG,2017-10-22,biodiversity,en,2017-10
2,IN,2017-10-22,invasive species,en,2017-10
58,US,2017-10-22,ecology,en,2017-10
1,NZ,2017-10-22,ecology,en,2017-10
8,US,2017-10-22,habitat destruction,en,2017-10
12,ES,2017-10-22,ecology,en,2017-10
1,ES,2017-10-22,species diversity,es,2017-10
4,ES,2017-10-22,deforestation,es,2017-10
22,US,2017-10-22,invasive species,en,2017-10
4,US,2017-10-22,wildlife trade,en,2017-10
1,AU,2017-10-22,endangered species,en,2017-10
2,US,2017-10-22,ecology,tr,2017-10
237,US,2017-10-22,sustainability,en,2017-10
4,FR,2017-10-22,desertification,fr,2017-10
2,SK,2017-10-22,extinction,en,2017-10
1,US,2017-10-22,ecosystem service,en,2017-10
1,TH,2017-10-22,ecology,en,2017-10
4,ZA,2017-10-22,biodiversity,en,2017-10
2,DE,2017-10-22,endangered species,en,2017-10
787,US,2017-10-22,climate change,en,2017-10
18,GB,2017-10-22,extinction,en,2017-10
2,FI,2017-10-22,biodiversity,en,2017-10
1,FI,2017-10-22,climate change,en,2017-10
6,MX,2017-10-22,biodiversity,es,2017-10
10,MX,2017-10-22,biosphere,es,2017-10
4,SG,2017-10-22,deforestation,en,2017-10
12,FR,2017-10-22,extinction,en,2017-10
110,FR,2017-10-22,climate change,en,2017-10
23,FR,2017-10-22,ecology,fr,2017-10
5,FR,2017-10-22,endangered species,fr,2017-10
3,FR,2017-10-22,ocean acidification,fr,2017-10
15,FR,2017-10-22,climate change,fr,2017-10
2,ZA,2017-10-22,extinction,en,2017-10
4,IE,2017-10-22,biodiversity,en,2017-10
6,CA,2017-10-22,biodiversity,en,2017-10
6,RU,2017-10-22,ecology,en,2017-10
4,NL,2017-10-22,biodiversity,en,2017-10
2,NL,2017-10-22,extinction,en,2017-10
2,ZA,2017-10-22,biosphere,en,2017-10
101,ES,2017-10-22,extinction,es,2017-10
