"country","issue","set","month","mentions","baseline","rate"
"AD","all","all","2017-11",2,1348,0.00148367952522255
"AD","all","all","2017-12",5,1387,0.00360490266762797
"AD","all","all","2018-1",4,1578,0.00253485424588086
"AD","all","all","2018-2",2,1851,0.00108049702863317
"AD","all","all","2018-3",5,2005,0.00249376558603491
"AD","all","all","2018-4",1,1884,0.000530785562632696
"AD","all","all","2018-5",0,107,0
"AD","biodiversity","issue","2017-11",0,1348,0
"AD","biodiversity","issue","2017-12",0,1387,0
"AD","biodiversity","issue","2018-1",0,1578,0
"AD","biodiversity","issue","2018-2",0,1851,0
"AD","biodiversity","issue","2018-3",0,2005,0
"AD","biodiversity","issue","2018-4",0,1884,0
"AD","biodiversity","issue","2018-5",0,107,0
"AD","biosphere","issue","2017-11",4,1348,0.0029673590504451
"AD","biosphere","issue","2017-12",6,1387,0.00432588320115357
"AD","biosphere","issue","2018-1",4,1578,0.00253485424588086
"AD","biosphere","issue","2018-2",4,1851,0.00216099405726634
"AD","biosphere","issue","2018-3",4,2005,0.00199501246882793
"AD","biosphere","issue","2018-4",0,1884,0
"AD","biosphere","issue","2018-5",0,107,0
"AD","climate change","issue","2017-11",0,1348,0
"AD","climate change","issue","2017-12",0,1387,0
"AD","climate change","issue","2018-1",0,1578,0
"AD","climate change","issue","2018-2",0,1851,0
"AD","climate change","issue","2018-3",0,2005,0
"AD","climate change","issue","2018-4",0,1884,0
"AD","climate change","issue","2018-5",0,107,0
"AD","deforestation","issue","2017-11",0,1348,0
"AD","deforestation","issue","2017-12",0,1387,0
"AD","deforestation","issue","2018-1",0,1578,0
"AD","deforestation","issue","2018-2",0,1851,0
"AD","deforestation","issue","2018-3",0,2005,0
"AD","deforestation","issue","2018-4",0,1884,0
"AD","deforestation","issue","2018-5",0,107,0
"AD","desertification","issue","2017-11",0,1348,0
"AD","desertification","issue","2017-12",0,1387,0
"AD","desertification","issue","2018-1",0,1578,0
"AD","desertification","issue","2018-2",0,1851,0
"AD","desertification","issue","2018-3",0,2005,0
"AD","desertification","issue","2018-4",0,1884,0
"AD","desertification","issue","2018-5",0,107,0
"AD","ecology","issue","2017-11",0,1348,0
"AD","ecology","issue","2017-12",4,1387,0.00288392213410238
"AD","ecology","issue","2018-1",4,1578,0.00253485424588086
"AD","ecology","issue","2018-2",0,1851,0
"AD","ecology","issue","2018-3",5,2005,0.00249376558603491
"AD","ecology","issue","2018-4",2,1884,0.00106157112526539
"AD","ecology","issue","2018-5",0,107,0
"AD","ecosystem service","issue","2017-11",0,1348,0
"AD","ecosystem service","issue","2017-12",0,1387,0
"AD","ecosystem service","issue","2018-1",0,1578,0
"AD","ecosystem service","issue","2018-2",0,1851,0
"AD","ecosystem service","issue","2018-3",0,2005,0
"AD","ecosystem service","issue","2018-4",0,1884,0
"AD","ecosystem service","issue","2018-5",0,107,0
"AD","endangered species","issue","2017-11",0,1348,0
"AD","endangered species","issue","2017-12",0,1387,0
"AD","endangered species","issue","2018-1",0,1578,0
"AD","endangered species","issue","2018-2",0,1851,0
"AD","endangered species","issue","2018-3",0,2005,0
"AD","endangered species","issue","2018-4",0,1884,0
"AD","endangered species","issue","2018-5",0,107,0
"AD","endemic species","issue","2017-11",0,1348,0
"AD","endemic species","issue","2017-12",0,1387,0
"AD","endemic species","issue","2018-1",0,1578,0
"AD","endemic species","issue","2018-2",0,1851,0
"AD","endemic species","issue","2018-3",0,2005,0
"AD","endemic species","issue","2018-4",0,1884,0
"AD","endemic species","issue","2018-5",0,107,0
"AD","extinction","issue","2017-11",0,1348,0
"AD","extinction","issue","2017-12",0,1387,0
"AD","extinction","issue","2018-1",0,1578,0
"AD","extinction","issue","2018-2",0,1851,0
"AD","extinction","issue","2018-3",0,2005,0
"AD","extinction","issue","2018-4",0,1884,0
"AD","extinction","issue","2018-5",0,107,0
"AD","genetic diversity","issue","2017-11",0,1348,0
"AD","genetic diversity","issue","2017-12",0,1387,0
"AD","genetic diversity","issue","2018-1",0,1578,0
"AD","genetic diversity","issue","2018-2",0,1851,0
"AD","genetic diversity","issue","2018-3",0,2005,0
"AD","genetic diversity","issue","2018-4",0,1884,0
"AD","genetic diversity","issue","2018-5",0,107,0
"AD","habitat destruction","issue","2017-11",0,1348,0
"AD","habitat destruction","issue","2017-12",0,1387,0
"AD","habitat destruction","issue","2018-1",0,1578,0
"AD","habitat destruction","issue","2018-2",0,1851,0
"AD","habitat destruction","issue","2018-3",0,2005,0
"AD","habitat destruction","issue","2018-4",0,1884,0
"AD","habitat destruction","issue","2018-5",0,107,0
"AD","habitat fragmentation","issue","2017-11",0,1348,0
"AD","habitat fragmentation","issue","2017-12",0,1387,0
"AD","habitat fragmentation","issue","2018-1",0,1578,0
"AD","habitat fragmentation","issue","2018-2",0,1851,0
"AD","habitat fragmentation","issue","2018-3",0,2005,0
"AD","habitat fragmentation","issue","2018-4",0,1884,0
"AD","habitat fragmentation","issue","2018-5",0,107,0
"AD","invasive species","issue","2017-11",0,1348,0
"AD","invasive species","issue","2017-12",0,1387,0
"AD","invasive species","issue","2018-1",0,1578,0
"AD","invasive species","issue","2018-2",0,1851,0
"AD","invasive species","issue","2018-3",0,2005,0
"AD","invasive species","issue","2018-4",0,1884,0
"AD","invasive species","issue","2018-5",0,107,0
"AD","keystone species","issue","2017-11",0,1348,0
"AD","keystone species","issue","2017-12",0,1387,0
"AD","keystone species","issue","2018-1",0,1578,0
"AD","keystone species","issue","2018-2",0,1851,0
"AD","keystone species","issue","2018-3",0,2005,0
"AD","keystone species","issue","2018-4",0,1884,0
"AD","keystone species","issue","2018-5",0,107,0
"AD","natural capital","issue","2017-11",0,1348,0
"AD","natural capital","issue","2017-12",0,1387,0
"AD","natural capital","issue","2018-1",0,1578,0
"AD","natural capital","issue","2018-2",0,1851,0
"AD","natural capital","issue","2018-3",0,2005,0
"AD","natural capital","issue","2018-4",0,1884,0
"AD","natural capital","issue","2018-5",0,107,0
"AD","ocean acidification","issue","2017-11",0,1348,0
"AD","ocean acidification","issue","2017-12",0,1387,0
"AD","ocean acidification","issue","2018-1",0,1578,0
"AD","ocean acidification","issue","2018-2",0,1851,0
"AD","ocean acidification","issue","2018-3",0,2005,0
"AD","ocean acidification","issue","2018-4",0,1884,0
"AD","ocean acidification","issue","2018-5",0,107,0
"AD","protected area","issue","2017-11",0,1348,0
"AD","protected area","issue","2017-12",0,1387,0
"AD","protected area","issue","2018-1",0,1578,0
"AD","protected area","issue","2018-2",0,1851,0
"AD","protected area","issue","2018-3",0,2005,0
"AD","protected area","issue","2018-4",0,1884,0
"AD","protected area","issue","2018-5",0,107,0
"AD","species diversity","issue","2017-11",0,1348,0
"AD","species diversity","issue","2017-12",0,1387,0
"AD","species diversity","issue","2018-1",0,1578,0
"AD","species diversity","issue","2018-2",0,1851,0
"AD","species diversity","issue","2018-3",0,2005,0
"AD","species diversity","issue","2018-4",0,1884,0
"AD","species diversity","issue","2018-5",0,107,0
"AD","subspecies","issue","2017-11",0,1348,0
"AD","subspecies","issue","2017-12",0,1387,0
"AD","subspecies","issue","2018-1",0,1578,0
"AD","subspecies","issue","2018-2",0,1851,0
"AD","subspecies","issue","2018-3",0,2005,0
"AD","subspecies","issue","2018-4",0,1884,0
"AD","subspecies","issue","2018-5",0,107,0
"AD","sustainability","issue","2017-11",0,1348,0
"AD","sustainability","issue","2017-12",0,1387,0
"AD","sustainability","issue","2018-1",1,1578,0.000633713561470215
"AD","sustainability","issue","2018-2",0,1851,0
"AD","sustainability","issue","2018-3",0,2005,0
"AD","sustainability","issue","2018-4",0,1884,0
"AD","sustainability","issue","2018-5",0,107,0
"AD","wildlife trade","issue","2017-11",0,1348,0
"AD","wildlife trade","issue","2017-12",0,1387,0
"AD","wildlife trade","issue","2018-1",0,1578,0
"AD","wildlife trade","issue","2018-2",0,1851,0
"AD","wildlife trade","issue","2018-3",0,2005,0
"AD","wildlife trade","issue","2018-4",0,1884,0
"AD","wildlife trade","issue","2018-5",0,107,0
"AE","all","all","2017-11",452,23229,0.0194584355762194
"AE","all","all","2017-12",318,21198,0.0150014152278517
"AE","all","all","2018-1",481,21614,0.0222540945683353
"AE","all","all","2018-2",405,20846,0.0194281876619016
"AE","all","all","2018-3",440,21724,0.0202540968514086
"AE","all","all","2018-4",376,20327,0.0184975648152703
"AE","all","all","2018-5",37,1476,0.0250677506775068
"AE","biodiversity","issue","2017-11",31,23229,0.00133453872314779
"AE","biodiversity","issue","2017-12",41,21198,0.00193414473063497
"AE","biodiversity","issue","2018-1",59,21614,0.0027297122235588
"AE","biodiversity","issue","2018-2",63,20846,0.00302216252518469
"AE","biodiversity","issue","2018-3",60,21724,0.00276192229791935
"AE","biodiversity","issue","2018-4",63,20327,0.00309932601957987
"AE","biodiversity","issue","2018-5",10,1476,0.00677506775067751
"AE","biosphere","issue","2017-11",4,23229,0.000172198544922295
"AE","biosphere","issue","2017-12",4,21198,0.000188697046891216
"AE","biosphere","issue","2018-1",4,21614,0.000185065235495512
"AE","biosphere","issue","2018-2",12,20846,0.000575650004797083
"AE","biosphere","issue","2018-3",0,21724,0
"AE","biosphere","issue","2018-4",2,20327,9.83913022088847e-05
"AE","biosphere","issue","2018-5",0,1476,0
"AE","climate change","issue","2017-11",194,23229,0.00835162942873133
"AE","climate change","issue","2017-12",141,21198,0.00665157090291537
"AE","climate change","issue","2018-1",209,21614,0.00966965855464051
"AE","climate change","issue","2018-2",149,20846,0.00714765422623045
"AE","climate change","issue","2018-3",160,21724,0.00736512612778494
"AE","climate change","issue","2018-4",111,20327,0.0054607172725931
"AE","climate change","issue","2018-5",10,1476,0.00677506775067751
"AE","deforestation","issue","2017-11",7,23229,0.000301347453614017
"AE","deforestation","issue","2017-12",4,21198,0.000188697046891216
"AE","deforestation","issue","2018-1",6,21614,0.000277597853243268
"AE","deforestation","issue","2018-2",7,20846,0.000335795836131632
"AE","deforestation","issue","2018-3",5,21724,0.000230160191493279
"AE","deforestation","issue","2018-4",12,20327,0.000590347813253308
"AE","deforestation","issue","2018-5",2,1476,0.0013550135501355
"AE","desertification","issue","2017-11",10,23229,0.000430496362305739
"AE","desertification","issue","2017-12",2,21198,9.43485234456081e-05
"AE","desertification","issue","2018-1",5,21614,0.00023133154436939
"AE","desertification","issue","2018-2",11,20846,0.000527679171063993
"AE","desertification","issue","2018-3",4,21724,0.000184128153194623
"AE","desertification","issue","2018-4",10,20327,0.000491956511044424
"AE","desertification","issue","2018-5",1,1476,0.000677506775067751
"AE","ecology","issue","2017-11",7,23229,0.000301347453614017
"AE","ecology","issue","2017-12",5,21198,0.00023587130861402
"AE","ecology","issue","2018-1",2,21614,9.25326177477561e-05
"AE","ecology","issue","2018-2",11,20846,0.000527679171063993
"AE","ecology","issue","2018-3",4,21724,0.000184128153194623
"AE","ecology","issue","2018-4",7,20327,0.000344369557731097
"AE","ecology","issue","2018-5",0,1476,0
"AE","ecosystem service","issue","2017-11",1,23229,4.30496362305739e-05
"AE","ecosystem service","issue","2017-12",0,21198,0
"AE","ecosystem service","issue","2018-1",0,21614,0
"AE","ecosystem service","issue","2018-2",0,20846,0
