alpha-2,geo,name
AF,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[74.8904876708985, 37.23569107055664], [74.5715560913086, 37.034439086914176], [73.83299255371111, 36.909191131592024], [72.65616607666033, 36.84984207153343], [71.657035827637, 36.477924346924055], [71.23094177246105, 36.06967926025396], [71.48027801513689, 35.857696533203296], [71.67289733886713, 35.19478988647461], [71.00681304931669, 34.46111679077154], [71.07628631591814, 34.0625076293947], [70.76793670654303, 33.95485687255888], [69.90998840332031, 34.02013015747093], [70.34169769287138, 33.39313888549805], [70.0230789184572, 33.14326858520508], [69.5909957885745, 33.08475875854515], [69.2406997680664, 32.46138763427746], [69.32350158691412, 31.94417381286621], [68.80493927001959, 31.60998153686546], [68.57014465332037, 31.827964782714957], [67.71071624755888, 31.500064849853516], [67.3048706054687, 31.182340621948242], [66.74073791503906, 31.191793441772518], [66.48236846923857, 30.91995048522972], [66.26650238037121, 29.84199523925787], [65.09713745117205, 29.54283523559576], [64.63192749023432, 29.58108139038086], [64.09434509277366, 29.363862991333235], [63.66489410400385, 29.47640609741211], [62.47864913940447, 29.376550674438477], [60.89943695068354, 29.83749580383312], [61.80756378173828, 30.837606430053825], [61.70648193359375, 31.37718009948736], [60.84568786621094, 31.4869003295899], [60.88019561767595, 32.200416564941634], [60.584125518798885, 33.127532958984375], [60.899990081787166, 33.538909912109375], [60.53175354003906, 33.65017318725597], [60.504928588867244, 34.07679748535156], [60.99139022827154, 34.64155578613281], [61.28274154663103, 35.60860824584972], [62.06748962402338, 35.430984497070256], [62.307453155517635, 35.12981414794916], [63.098148345947436, 35.41837310791044], [63.12017059326189, 35.862091064453296], [64.06193542480474, 36.00191116333019], [64.63525390625006, 36.43827438354498], [64.75370025634771, 37.11155700683588], [65.5301513671875, 37.23975372314453], [65.70307922363276, 37.5366325378418], [66.52639770507835, 37.346054077148665], [66.94887542724632, 37.38874435424816], [67.27584075927763, 37.17716598510765], [67.79062652587919, 37.18518066406244], [68.0283508300783, 36.93014526367199], [68.97231292724626, 37.31820297241222], [69.25197601318365, 37.09565734863287], [69.53464508056646, 37.591995239257926], [70.11481475830095, 37.522163391113395], [70.1718139648437, 37.931732177734375], [70.61048126220714, 38.34716796875017], [70.98921966552757, 38.490924835205305], [71.52408599853544, 37.95706939697277], [71.43128204345703, 37.05755996704124], [71.84264373779291, 36.68068695068354], [73.30590820312528, 37.46385192871094], [73.77579498291016, 37.43964004516607], [73.65499877929699, 37.23589324951183], [74.71035003662104, 37.38279342651373], [74.8904876708985, 37.23569107055664]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""AF""}}",Afghanistan
AX,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[19.904687881469727, 60.4213562011721], [20.270313262939567, 60.28385162353521], [19.752603530883903, 60.09426879882818], [19.904687881469727, 60.4213562011721]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""AX""}}",Åland Islands
AL,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[19.59270668029791, 41.63154983520508], [19.375400543212834, 41.85013961791992], [19.28442192077648, 42.17871093750023], [19.706918716430664, 42.658889770507756], [20.033109664916935, 42.548316955566406], [20.524263381958065, 42.202407836914176], [20.569585800171183, 41.786544799804915], [20.524406433105526, 41.228080749511946], [20.991338729858512, 40.85806274414085], [21.034809112549, 40.55367660522461], [20.409017562866325, 39.83327102661133], [20.008483886718807, 39.694091796875114], [19.860717773437614, 40.039585113525675], [19.46736145019537, 40.21708297729515], [19.306528091430664, 40.66236114501976], [19.59270668029791, 41.63154983520508]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""AL""}}",Albania
DZ,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[8.642915725708008, 36.941436767578125], [8.258264541626033, 35.908752441406534], [8.314373970031738, 35.313678741455305], [8.222252845764274, 34.57530975341808], [7.8577070236206055, 34.40634536743187], [7.530161857605094, 33.91288375854492], [7.832828044891357, 33.187679290771484], [8.117963790893555, 33.09938049316412], [8.357524871826229, 32.50214004516613], [9.071734428405762, 32.087242126464844], [9.557297706604004, 30.2368106842041], [9.391736984252987, 30.16670417785656], [9.780570983886832, 29.424129486083984], [9.902926445007267, 28.7584686279298], [9.833544731140137, 28.285259246826172], [9.962642669677678, 27.88528060913086], [9.783099174499625, 27.255830764770735], [9.863895416259766, 26.519117355346907], [9.399593353271428, 26.194828033447493], [10.032671928405762, 25.35870742797863], [10.036399841308594, 24.963594436645735], [10.357234954834098, 24.53605270385748], [10.950188636779728, 24.531810760498274], [11.423026084899902, 24.199550628662337], [11.604751586914176, 24.263780593872298], [11.9795503616333, 23.525030136108512], [10.577700614929313, 22.716611862182617], [8.601714134216365, 21.54487037658714], [7.445679187774772, 20.842470169067496], [5.8170819282532875, 19.437709808349666], [4.242887020111084, 19.136716842651367], [3.3337740898132324, 18.96003150939964], [3.108515977859554, 19.17996978759794], [3.272078037261963, 19.409557342529297], [3.2328948974609375, 19.82181930542015], [1.9275979995728107, 20.238210678100586], [1.6531139612198444, 20.552160263061523], [1.1769549846649738, 20.733539581299055], [1.166674017906189, 21.118892669677848], [-0.013031999580562115, 21.911319732666243], [-1.6838589906692505, 23.006000518798942], [-3.9610390663146973, 24.44512748718273], [-4.832172870635986, 24.99656486511242], [-6.999999999999886, 26.341360092163313], [-8.673868179321289, 27.298070907592773], [-8.670013427734375, 27.670074462890852], [-8.667710304260197, 28.71348953247093], [-7.591602802276611, 29.376918792724723], [-5.798730850219727, 29.61416053772001], [-5.552464962005615, 29.482500076294173], [-5.239675998687744, 29.933425903320426], [-4.320165157318115, 30.528390884399357], [-3.642934083938542, 30.699592590332315], [-3.5352590084075928, 31.013233184814567], [-3.789604902267399, 31.235776901245117], [-3.6635708808898357, 31.633113861084098], [-2.831609010696411, 31.798009872436467], [-2.9151639938353924, 32.11880874633789], [-2.013864040374756, 32.181777954101676], [-1.2051260471343994, 32.0847740173341], [-1.0007749795913696, 32.50561523437506], [-1.3812190294265747, 32.73932266235374], [-1.6707129478453453, 33.284606933593864], [-1.647634029388314, 34.106685638427734], [-1.736557960510254, 34.743816375732536], [-2.2119009494781494, 35.08430480957054], [-1.7645839452742962, 35.124027252197266], [-1.1962499618530273, 35.5490264892581], [-0.46819299459451713, 35.88735961914074], [-0.11125099658966064, 35.78819274902355], [0.3384729921818348, 36.190971374511946], [1.3540279865264893, 36.55291748046875], [2.5573608875275795, 36.592361450195426], [2.9018049240111736, 36.806251525878906], [4.75458288192749, 36.89513778686552], [5.219861030578556, 36.647640228271484], [6.029027938842773, 36.84819412231457], [6.4715290069581215, 37.08958435058622], [6.930973052978516, 36.88069534301758], [7.180139064788875, 37.076248168945426], [7.910696029663143, 36.844028472900504], [8.642915725708008, 36.941436767578125]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""DZ""}}",Algeria
AS,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-170.67211914062494, -14.244852066040039], [-170.7415008544922, -14.366336822509709], [-170.84466552734372, -14.324375152587834], [-170.67211914062494, -14.244852066040039]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""AS""}}",American Samoa
AD,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[1.7219419479370117, 42.50122833251976], [1.5157710313798134, 42.428844451904524], [1.440829038620052, 42.588253021240405], [1.7219419479370117, 42.50122833251976]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""AD""}}",Andorra
AO,"{""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[23.99569892883312, -10.891569137573242], [24.081438064575252, -11.384390830993539], [23.97117042541504, -11.65565967559803], [24.069864273071403, -12.41904258728016], [23.90498733520525, -12.845439910888558], [24.040290832519645, -12.990558624267578], [21.99990081787115, -13.004718780517578], [21.999664306640625, -16.197874069213867], [22.139661788940487, -16.481449127197266], [23.227287292480526, -17.539073944091797], [23.428153991699276, -17.63928031921381], [21.433547973632812, -18.024074554443246], [20.812007904052848, -18.040735244750863], [20.316829681396598, -17.865169525146484], [18.898990631103516, -17.81926727294922], [18.422714233398494, -17.39442825317377], [16.870269775390625, -17.38993453979475], [14.214320182800293, -17.384059906005746], [13.956889152526912, -17.43337249755848], [13.460853576660156, -17.0130672454834], [12.992523193359489, -16.981487274169865], [12.565638542175293, -17.242143630981445], [11.751805305480957, -17.24962615966797], [11.827361106872559, -16.688747406005746], [11.730695724487362, -15.88486099243164], [12.02013874053955, -15.56624889373768], [12.284029006957951, -14.761804580688363], [12.530694961547852, -13.418471336364632], [13.655138969421444, -12.23708438873291], [13.797917366027946, -11.777361869812012], [13.8651380538941, -11.020417213439828], [13.529582977294865, -10.387638092040902], [12.995693206787223, -9.097915649414062], [13.397639274597225, -8.748472213745117], [13.396527290344238, -8.411805152893066], [13.096248626708984, -7.837359905242863], [12.831526756286735, -6.997638225555249], [12.2859725952149, -6.164306163787842], [12.45319461822504, -6.080243110656681], [13.018078804016113, -5.876780033111572], [13.986271858215332, -5.8416290283203125], [16.365940093994254, -5.864693164825326], [16.5997371673584, -5.9185538291930015], [17.005510330200195, -7.300049781799089], [17.560329437255973, -8.127449035644531], [18.226528167724666, -7.989231109619027], [19.3729705810548, -7.995273113250619], [19.5437908172608, -6.99942493438698], [20.62714767456066, -6.913399219512826], [20.54167938232422, -7.281471252441349], [21.780590057373047, -7.283893108367806], [21.745449066162223, -7.938797950744515], [21.958908081054744, -8.488907814025879], [21.796064376830998, -9.42758560180664], [22.18586730957037, -9.917449951171704], [22.33489799499506, -10.754073143005371], [22.290079116821346, -11.251029014587402], [22.510150909423828, -11.042389869689828], [23.203172683715934, -11.102199554443132], [23.4175777435305, -10.945038795471135], [23.99569892883312, -10.891569137573242]]], [[[13.102502822875977, -4.646506786346322], [12.519019126892147, -5.070457935333252], [12.535100936889762, -5.733852863311597], [12.218194007873478, -5.7926378250120365], [12.009860038757381, -5.030663967132398], [12.751319885253906, -4.372591018676758], [13.102502822875977, -4.646506786346322]]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""AO""}}",Angola
AI,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-63.06847381591791, 18.236803054809627], [-62.98430633544922, 18.2281951904298], [-63.104862213134766, 18.167083740234432], [-63.06847381591791, 18.236803054809627]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""AI""}}",Anguilla
AG,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-61.83124923706055, 17.173194885254134], [-61.67819595336914, 17.097917556762752], [-61.88458251953119, 17.022361755371207], [-61.83124923706055, 17.173194885254134]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""AG""}}",Antigua & Barbuda
AR,"{""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-68.61051177978516, -54.89430618286133], [-68.6067886352539, -52.687530517578125], [-68.774169921875, -52.54574584960926], [-68.28527832031244, -52.95486068725563], [-68.46694183349604, -53.29208374023426], [-67.33472442626953, -54.03874969482422], [-66.45861053466791, -54.48041534423828], [-65.23694610595697, -54.62014007568354], [-65.62694549560547, -54.96819305419922], [-66.44083404541016, -55.0573616027832], [-68.2474975585937, -54.795139312744084], [-68.61051177978516, -54.89430618286133]]], [[[-64.83958435058594, -40.75819396972639], [-65.16014099121094, -40.97486114501953], [-64.99764251708984, -41.487640380859375], [-65.07069396972656, -41.957359313964844], [-64.46263885498047, -42.24069595336914], [-63.758472442626896, -42.07624816894531], [-63.6301383972168, -42.75986099243147], [-64.10624694824219, -42.87958145141579], [-64.56541442871094, -42.49152755737282], [-65.02375030517578, -42.775970458984375], [-64.32430267333973, -42.99791717529297], [-64.99847412109375, -43.27152633666992], [-65.35458374023438, -43.752639770507756], [-65.21402740478516, -44.36736297607422], [-65.69013977050776, -44.72013854980452], [-65.64485931396473, -45.052360534667855], [-66.1956939697265, -44.98347091674799], [-66.87236022949219, -45.23708343505848], [-67.62264251708984, -46.048194885253906], [-67.43041992187489, -46.559307098388615], [-66.76791381835938, -47.01291656494129], [-65.73930358886719, -47.202362060546704], [-65.8062515258789, -47.96125030517567], [-66.33430480957031, -48.36208343505848], [-67.1268081665039, -48.682918548583984], [-67.6362533569336, -49.139862060546875], [-67.72985839843744, -49.77791595458973], [-68.15027618408203, -50.10736083984369], [-68.88083648681635, -50.336528778076115], [-69.16638946533197, -50.97930526733393], [-68.43561553955078, -52.394306182861214], [-70.01935577392572, -51.998188018798714], [-71.91079711914062, -51.998844146728516], [-72.4195785522461, -51.59376907348627], [-72.27935028076166, -50.661705017089844], [-73.1639785766601, -50.75897979736328], [-73.52998352050781, -50.14990615844721], [-73.57208251953114, -49.53241729736317], [-72.9168090820312, -48.943038940429346], [-72.54966735839844, -48.79079055786133], [-72.29276275634766, -48.35149002075184], [-72.52344512939453, -47.91305923461914], [-72.32291412353516, -47.433727264404126], [-71.87905883789062, -47.240299224853516], [-71.93131256103516, -46.81144714355452], [-71.64585113525379, -46.68254089355463], [-71.76448059082026, -46.227729797363224], [-71.59770965576172, -45.96498107910156], [-71.75804138183594, -45.56222915649397], [-71.2972564697265, -45.30025863647444], [-71.56018066406244, -44.9797286987303], [-72.06970977783203, -44.768249511718636], [-71.30264282226562, -44.80802154541004], [-71.2114028930664, -44.42758941650368], [-71.78601074218744, -44.40627670288086], [-71.69340515136713, -43.6300048828125], [-71.93154907226557, -43.448066711425554], [-71.73961639404297, -43.17142105102528], [-72.1335678100586, -43.01638412475586], [-72.12438201904291, -42.312515258789006], [-71.7284927368164, -42.115390777587834], [-71.89222717285156, -41.62498092651356], [-71.94577026367182, -40.72964477539051], [-71.82958221435547, -40.22613143920887], [-71.49246215820312, -39.617439270019474], [-71.42237091064447, -38.92397689819336], [-70.83241271972656, -38.55770874023432], [-71.20321655273432, -37.68009948730469], [-71.01734161376953, -36.45940017700184], [-70.37297058105463, -36.03728485107422], [-70.43640899658203, -35.32703018188471], [-70.31102752685547, -34.768802642822266], [-70.04218292236328, -34.287010192871094], [-69.81541442871094, -34.22364044189436], [-69.99999999999989, -32.895164489746094], [-70.55329895019526, -31.559795379638672], [-70.5107803344726, -31.16321945190407], [-69.9400024414062, -30.090162277221623], [-70.00743865966786, -29.356277465820312], [-69.7982406616211, -29.156349182128906], [-69.64111328124994, -28.378839492797624], [-69.11214447021484, -27.892040252685433], [-68.80085754394531, -27.112485885620117], [-68.32473754882812, -27.04181098937977], [-68.58769989013666, -26.50918388366688], [-68.39044952392572, -26.190494537353402], [-68.58667755126953, -25.20430755615223], [-68.35183715820307, -25.094240188598462], [-68.57723999023438, -24.81822967529274], [-68.40285491943354, -24.48440933227522], [-67.34162902832026, -24.036823272705078], [-66.9879379272461, -22.99239921569813], [-67.17749786376947, -22.804691314697266], [-66.7388687133789, -22.233850479125863], [-66.28827667236322, -22.081661224365007], [-66.22112274169922, -21.77854728698719], [-65.75480651855463, -22.105810165405217], [-64.98323059082031, -22.083669662475586], [-64.54065704345697, -22.287860870361214], [-64.33743286132807, -22.75030136108387], [-63.93524932861328, -22.002731323242188], [-62.80807113647461, -22.004440307617074], [-62.64651870727539, -22.242889404296875], [-62.284908294677734, -22.49134063720703], [-61.9892463684082, -23.0207843780517], [-61.002471923828125, -23.79414749145502], [-60.32007980346674, -24.048524856567383], [-60.04662322998047, -24.012132644653263], [-59.352993011474496, -24.484718322753906], [-58.65474319458008, -24.83356094360346], [-57.87367630004883, -25.079393386840593], [-57.5559463500976, -25.444845199584734], [-58.080005645751896, -26.116224288940373], [-58.190357208251896, -26.644302368164006], [-58.6401481628418, -27.124303817749023], [-57.28825378417963, -27.421615600585938], [-56.85692977905268, -27.60321044921858], [-56.36412048339844, -27.595844268798828], [-56.143482208251896, -27.312519073486328], [-55.72599411010742, -27.43979835510237], [-55.430381774902344, -27.005846023559457], [-54.81402587890625, -26.673847198486328], [-54.620338439941406, -26.217113494873047], [-54.59564208984375, -25.59211921691883], [-53.89387893676758, -25.62281990051258], [-53.5918350219726, -26.26488876342762], [-53.830329895019474, -27.17094421386696], [-54.33691787719721, -27.46126556396473], [-54.816997528076115, -27.539896011352425], [-54.9471817016601, -27.78001213073719], [-55.867664337158146, -28.35382652282709], [-57.34196472167963, -30.001224517822095], [-57.615211486816406, -30.179105758666992], [-57.84767913818354, -30.474008560180494], [-57.824905395507756, -30.909780502319222], [-58.20096969604492, -32.462345123291016], [-58.13420486450195, -33.02596664428711], [-58.413246154785156, -33.07627487182617], [-58.55497360229492, -33.72542190551752], [-58.319026947021484, -34.656249999999886], [-57.3423614501952, -35.15486145019531], [-57.1279182434082, -35.42319488525379], [-57.36347198486328, -35.74541854858393], [-57.277915954589844, -36.133193969726335], [-56.73485946655268, -36.323749542236214], [-56.667915344238224, -36.880416870117074], [-57.85041809082031, -38.29541778564453], [-59.0120849609375, -38.67930603027338], [-60.84763717651367, -38.979583740234375], [-61.631805419921875, -39.000415802001726], [-62.33930587768549, -38.760971069335824], [-62.320137023925724, -39.18597412109369], [-62.017082214355355, -39.35208511352539], [-62.124305725097656, -39.8876380920409], [-62.48125076293945, -40.29430389404297], [-62.195972442626896, -40.631526947021484], [-62.311248779296875, -40.870971679687386], [-63.11847305297846, -41.155418395996094], [-63.78680419921869, -41.15986251831055], [-64.83958435058594, -40.75819396972639]]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""AR""}}",Argentina
