"month","country"
"2017-11","UM"
"2017-12","UM"
"2018-1","UM"
"2018-2","UM"
"2018-3","UM"
"2018-4","UM"
"2018-5","UM"
"2018-6","UM"
"2018-7","UM"
"2018-8","UM"
"2018-9","UM"
"2018-10","UM"
"2018-11","UM"
"2018-12","UM"
"2019-1","UM"
"2019-2","UM"
"2017-11","HM"
"2017-12","HM"
"2018-1","HM"
"2018-2","HM"
"2018-3","HM"
"2018-4","HM"
"2018-5","HM"
"2018-6","HM"
"2018-7","HM"
"2018-8","HM"
"2018-9","HM"
"2018-10","HM"
"2018-11","HM"
"2018-12","HM"
"2019-1","HM"
"2019-2","HM"
"2017-11","AX"
"2017-12","AX"
"2018-1","AX"
"2018-2","AX"
"2018-3","AX"
"2018-4","AX"
"2018-5","AX"
"2018-6","AX"
"2018-7","AX"
"2018-8","AX"
"2018-9","AX"
"2018-10","AX"
"2018-11","AX"
"2018-12","AX"
"2019-1","AX"
"2019-2","AX"
"2017-11","ZW"
"2017-12","ZW"
"2018-1","ZW"
"2018-2","ZW"
"2018-3","ZW"
"2018-4","ZW"
"2018-5","ZW"
"2018-6","ZW"
"2018-7","ZW"
"2018-8","ZW"
"2018-9","ZW"
"2018-10","ZW"
"2018-11","ZW"
"2018-12","ZW"
"2019-1","ZW"
"2019-2","ZW"
"2017-11","ZM"
"2017-12","ZM"
"2018-1","ZM"
"2018-2","ZM"
"2018-3","ZM"
"2018-4","ZM"
"2018-5","ZM"
"2018-6","ZM"
"2018-7","ZM"
"2018-8","ZM"
"2018-9","ZM"
"2018-10","ZM"
"2018-11","ZM"
"2018-12","ZM"
"2019-1","ZM"
"2019-2","ZM"
"2017-11","EH"
"2017-12","EH"
"2018-1","EH"
"2018-2","EH"
"2018-3","EH"
"2018-4","EH"
"2018-5","EH"
"2018-6","EH"
"2018-7","EH"
"2018-8","EH"
"2018-9","EH"
"2018-10","EH"
"2018-11","EH"
"2018-12","EH"
"2019-1","EH"
"2019-2","EH"
"2017-11","VN"
"2017-12","VN"
"2018-1","VN"
"2018-2","VN"
"2018-3","VN"
"2018-4","VN"
"2018-5","VN"
"2018-6","VN"
"2018-7","VN"
"2018-8","VN"
"2018-9","VN"
"2018-10","VN"
"2018-11","VN"
"2018-12","VN"
"2019-1","VN"
"2019-2","VN"
"2017-11","VA"
"2017-12","VA"
"2018-1","VA"
"2018-2","VA"
"2018-3","VA"
"2018-4","VA"
"2018-5","VA"
"2018-6","VA"
"2018-7","VA"
"2018-8","VA"
"2018-9","VA"
"2018-10","VA"
"2018-11","VA"
"2018-12","VA"
"2019-1","VA"
"2019-2","VA"
"2017-11","VU"
"2017-12","VU"
"2018-1","VU"
"2018-2","VU"
"2018-3","VU"
"2018-4","VU"
"2018-5","VU"
"2018-6","VU"
"2018-7","VU"
"2018-8","VU"
"2018-9","VU"
"2018-10","VU"
"2018-11","VU"
"2018-12","VU"
"2019-1","VU"
"2019-2","VU"
"2017-11","UY"
"2017-12","UY"
"2018-1","UY"
"2018-2","UY"
"2018-3","UY"
