"lang","count"
"null",9481659
"en",8228514
"ja",5176407
"es",2300300
"ar",1970890
"und",1664131
"ko",1488636
"pt",1409666
"th",941433
"tr",633003
"fr",463117
"in",447101
"tl",340372
"ru",185365
"it",139497
"hi",116240
"de",107582
"zh",68300
"nl",65200
"pl",63375
"ht",33350
"et",32384
"fa",32166
"ur",30334
"el",25700
"sv",23796
"ta",15361
"fi",13611
"cs",12213
"da",12166
"ro",10813
"no",10520
"eu",10387
"cy",9725
"vi",9306
"uk",9139
"hu",6860
"lt",6283
"ne",5756
"lv",5610
"sl",4329
"iw",4179
"is",3852
"sr",3185
"bn",2990
"bg",2839
"gu",2355
"mr",2329
"ml",1925
"te",1205
"kn",1035
"my",972
"si",465
"ckb",417
"hy",354
"pa",318
"km",246
"ps",222
"ka",213
"or",149
"am",130
"sd",89
"lo",54
"dv",33
"bo",12
"ug",10
