-en 20
-und 2
-de 2
-tr 9
-et 1
-tl 1
-es 1
AD-und 6
AD-en 2
AD-pt 2
AD-in 1
AD-es 7
AE-lt 1
AE-pt 5
AE-ml 1
AE-in 22
AE-de 3
AE-ar 736
AE-zh 1
AE-ru 2
AE-es 10
AE-en 461
AE-ur 11
AE-lv 1
AE-cy 2
AE-hi 10
AE-tl 51
AE-ro 1
AE-it 2
AE-tr 1
AE-ta 4
AE-no 1
AE-fi 1
AE-nl 2
AE-et 6
AE-fr 8
AE-und 151
AE-sl 1
AE-da 3
AF-en 15
AF-ps 2
AF-fa 5
AG-ht 1
AG-und 3
AG-en 27
AG-da 1
AG-tr 1
AI-en 2
AL-und 4
AL-tl 1
AL-es 2
AL-et 1
AL-tr 1
AL-en 9
AM-pl 1
AM-in 1
AM-tr 1
AM-pt 1
AM-und 4
AM-ru 1
AM-en 12
AM-ja 1
AM-hy 3
AO-und 7
AO-en 4
AO-pl 1
AO-tl 1
AO-pt 32
AO-es 3
AQ-pt 2
AQ-ht 3
AQ-fr 2
AQ-in 1
AQ-nl 2
AQ-en 15
AR-et 2
AR-tl 11
AR-und 704
AR-cy 7
AR-is 3
AR-es 9202
AR-hi 2
AR-de 13
AR-pt 172
AR-in 34
AR-fr 37
AR-ja 1
AR-ht 10
AR-lv 5
AR-ro 2
AR-sv 3
AR-fi 6
AR-ko 1
AR-nl 1
AR-en 238
AR-pl 7
AR-it 61
AR-th 1
AR-eu 12
AR-tr 11
AR-ar 1
AR-lt 4
AR-hu 1
AR-da 3
AR-sl 1
AR-cs 2
AS-en 5
AT-nl 1
AT-el 1
AT-et 1
AT-it 1
AT-ht 1
AT-tr 16
AT-en 107
AT-pl 1
AT-es 5
AT-no 1
AT-da 1
AT-ro 2
AT-ar 13
AT-in 2
AT-fa 6
AT-fr 1
AT-ja 9
AT-sr 3
AT-tl 3
AT-pt 3
AT-ru 7
AT-cy 1
AT-th 1
AT-und 29
AT-eu 1
AT-de 109
AU-pt 13
AU-gu 1
AU-ja 24
AU-it 6
AU-und 172
AU-in 30
AU-ko 7
AU-es 24
AU-lv 1
AU-ru 3
AU-da 3
AU-tl 32
AU-fr 14
AU-th 26
AU-fi 1
