any,baseline,country,day,month
31,2274,IE,2017-10-22,2017-10
70,2140,CO,2017-10-22,2017-10
27,7264,CN,2017-10-22,2017-10
44,4202,IN,2017-10-22,2017-10
22,2800,AU,2017-10-22,2017-10
252,26552,FR,2017-10-22,2017-10
144,25676,DE,2017-10-22,2017-10
13,1740,FI,2017-10-22,2017-10
57,4580,MX,2017-10-22,2017-10
70,4094,CA,2017-10-22,2017-10
2,232,CR,2017-10-22,2017-10
28,12835,AR,2017-10-22,2017-10
3,1085,HR,2017-10-22,2017-10
22,2441,CZ,2017-10-22,2017-10
10,874,CL,2017-10-22,2017-10
3,1753,BG,2017-10-22,2017-10
185,4071,ID,2017-10-22,2017-10
7,169,CU,2017-10-22,2017-10
136,14865,IT,2017-10-22,2017-10
5,26,FJ,2017-10-22,2017-10
3,781,IL,2017-10-22,2017-10
8,4838,KR,2017-10-22,2017-10
12,2642,AT,2017-10-22,2017-10
7,1089,MY,2017-10-22,2017-10
3,178,LU,2017-10-22,2017-10
1,1709,HU,2017-10-22,2017-10
7,442,HK,2017-10-22,2017-10
5,163,FM,2017-10-22,2017-10
1,226,KE,2017-10-22,2017-10
4,9604,JP,2017-10-22,2017-10
14,1396,DK,2017-10-22,2017-10
6,60,DO,2017-10-22,2017-10
128,4648,BR,2017-10-22,2017-10
25,3473,GR,2017-10-22,2017-10
1,66,HN,2017-10-22,2017-10
178,5375,IR,2017-10-22,2017-10
1,136,BO,2017-10-22,2017-10
1,26,KY,2017-10-22,2017-10
1,20,CV,2017-10-22,2017-10
1,76,AO,2017-10-22,2017-10
20,4217,BE,2017-10-22,2017-10
2,957,MA,2017-10-22,2017-10
2,81,CD,2017-10-22,2017-10
1,336,CC,2017-10-22,2017-10
2,606,KZ,2017-10-22,2017-10
1,499,LV,2017-10-22,2017-10
1,458,AZ,2017-10-22,2017-10
1,471,BY,2017-10-22,2017-10
2,888,EE,2017-10-22,2017-10
2,111,CY,2017-10-22,2017-10
1,258,MD,2017-10-22,2017-10
0,22,AF,2017-10-22,2017-10
0,17,AX,2017-10-22,2017-10
0,286,AL,2017-10-22,2017-10
0,14,DZ,2017-10-22,2017-10
0,1,AS,2017-10-22,2017-10
0,31,AD,2017-10-22,2017-10
0,8,AG,2017-10-22,2017-10
0,591,AM,2017-10-22,2017-10
0,1,AW,2017-10-22,2017-10
0,262,BD,2017-10-22,2017-10
0,2188,BZ,2017-10-22,2017-10
0,838,BA,2017-10-22,2017-10
0,3,BW,2017-10-22,2017-10
0,26,IO,2017-10-22,2017-10
0,3,BF,2017-10-22,2017-10
0,3,BI,2017-10-22,2017-10
0,9,KH,2017-10-22,2017-10
0,2,CM,2017-10-22,2017-10
0,27,CF,2017-10-22,2017-10
0,18,CI,2017-10-22,2017-10
0,25,DJ,2017-10-22,2017-10
0,81,EC,2017-10-22,2017-10
0,656,EG,2017-10-22,2017-10
0,92,SV,2017-10-22,2017-10
0,7,GQ,2017-10-22,2017-10
0,12,PF,2017-10-22,2017-10
0,43,GA,2017-10-22,2017-10
0,361,GE,2017-10-22,2017-10
0,5,GH,2017-10-22,2017-10
0,7,GI,2017-10-22,2017-10
0,2,GT,2017-10-22,2017-10
0,2,GY,2017-10-22,2017-10
0,2,HT,2017-10-22,2017-10
0,28,VA,2017-10-22,2017-10
0,375,IS,2017-10-22,2017-10
0,11,IM,2017-10-22,2017-10
0,26,JO,2017-10-22,2017-10
0,1,KW,2017-10-22,2017-10
0,164,KG,2017-10-22,2017-10
0,4,LA,2017-10-22,2017-10
0,178,LB,2017-10-22,2017-10
0,68,LY,2017-10-22,2017-10
0,65,LI,2017-10-22,2017-10
0,405,LT,2017-10-22,2017-10
0,1791,MK,2017-10-22,2017-10
0,1,MG,2017-10-22,2017-10
0,214,MV,2017-10-22,2017-10
0,32,ML,2017-10-22,2017-10
0,7,MT,2017-10-22,2017-10
0,9,MR,2017-10-22,2017-10
0,42,MU,2017-10-22,2017-10
0,3,MC,2017-10-22,2017-10
0,56,MN,2017-10-22,2017-10
0,323,ME,2017-10-22,2017-10
0,1,MS,2017-10-22,2017-10
0,4,MZ,2017-10-22,2017-10
0,9,MM,2017-10-22,2017-10
9968,275365,US,2017-10-24,2017-10
58,9144,UA,2017-10-24,2017-10
686,28107,GB,2017-10-24,2017-10
1636,37045,ES,2017-10-24,2017-10
1618,48300,DE,2017-10-24,2017-10
1099,33502,FR,2017-10-24,2017-10
410,5170,AU,2017-10-24,2017-10
781,30992,RU,2017-10-24,2017-10
206,11835,CN,2017-10-24,2017-10
442,7751,CA,2017-10-24,2017-10
168,5888,IN,2017-10-24,2017-10
200,3731,ZA,2017-10-24,2017-10
157,3869,IE,2017-10-24,2017-10
311,5530,MX,2017-10-24,2017-10
93,4770,SG,2017-10-24,2017-10
29,1620,TV,2017-10-24,2017-10
84,686,NZ,2017-10-24,2017-10
99,2589,DK,2017-10-24,2017-10
50,368,LU,2017-10-24,2017-10
33,1951,CL,2017-10-24,2017-10
42,1334,PE,2017-10-24,2017-10
477,8551,NL,2017-10-24,2017-10
156,5997,BE,2017-10-24,2017-10
247,5401,GR,2017-10-24,2017-10
844,6369,ID,2017-10-24,2017-10
14,402,MD,2017-10-24,2017-10
222,4433,PT,2017-10-24,2017-10
30,2537,NO,2017-10-24,2017-10
296,3610,CO,2017-10-24,2017-10
145,5921,SE,2017-10-24,2017-10
789,18983,IT,2017-10-24,2017-10
246,4838,AT,2017-10-24,2017-10
235,7115,CH,2017-10-24,2017-10
301,5841,RO,2017-10-24,2017-10
458,7262,BR,2017-10-24,2017-10
77,12918,AR,2017-10-24,2017-10
27,2822,BG,2017-10-24,2017-10
11,392,PA,2017-10-24,2017-10
80,13362,PL,2017-10-24,2017-10
18,1744,EE,2017-10-24,2017-10
6,231,LK,2017-10-24,2017-10
21,529,PK,2017-10-24,2017-10
13,945,KZ,2017-10-24,2017-10
18,4429,TW,2017-10-24,2017-10
48,3453,CZ,2017-10-24,2017-10
406,19022,TR,2017-10-24,2017-10
516,3975,IR,2017-10-24,2017-10
10,280,CR,2017-10-24,2017-10
14,29,AF,2017-10-24,2017-10
10,842,LT,2017-10-24,2017-10
5,48,SX,2017-10-24,2017-10
10,230,WS,2017-10-24,2017-10
8,93,LI,2017-10-24,2017-10
12,323,NU,2017-10-24,2017-10
34,2214,FI,2017-10-24,2017-10
11,24,AX,2017-10-24,2017-10
18,1019,BY,2017-10-24,2017-10
12,407,KG,2017-10-24,2017-10
3,916,AM,2017-10-24,2017-10
6,2517,SK,2017-10-24,2017-10
62,40934,ES,2017-10-25,2017-10
9,246,WS,2017-10-25,2017-10
162,33001,RU,2017-10-25,2017-10
6,12207,AR,2017-10-25,2017-10
3,2023,CL,2017-10-25,2017-10
239,18555,IT,2017-10-25,2017-10
2,419,KG,2017-10-25,2017-10
8,7888,CA,2017-10-25,2017-10
1,225,FM,2017-10-25,2017-10
355,46447,DE,2017-10-25,2017-10
71,8533,NL,2017-10-25,2017-10
2,1146,BY,2017-10-25,2017-10
6,8053,BR,2017-10-25,2017-10
36,35063,FR,2017-10-25,2017-10
13,3480,CZ,2017-10-25,2017-10
3,4157,PT,2017-10-25,2017-10
15,2404,DK,2017-10-25,2017-10
1,2945,BG,2017-10-25,2017-10
2,1828,TV,2017-10-25,2017-10
4,556,AZ,2017-10-25,2017-10
15,29867,GB,2017-10-25,2017-10
16,2159,FI,2017-10-25,2017-10
4,5740,IN,2017-10-25,2017-10
25,7576,CH,2017-10-25,2017-10
95,5831,RO,2017-10-25,2017-10
1,145,LI,2017-10-25,2017-10
1,4036,CO,2017-10-25,2017-10
1,3369,IE,2017-10-25,2017-10
34,11209,CN,2017-10-25,2017-10
2,4743,TW,2017-10-25,2017-10
