country,month,trends,twitter,news,overall
ZM,2018-2,2.04545454545,5.93020204671,22.619047619,10.1982347371
VA,2018-2,,,,
UZ,2018-2,2.86363636364,21.793635487,3.97727272727,9.54484819263
TV,2018-2,,,1.63748458693,
TM,2018-2,,,,
TN,2018-2,5.13636363636,7.28159808524,0.660429279031,4.35946366688
TK,2018-2,,,3.29218106996,
TL,2018-2,,,3.50877192982,
TJ,2018-2,,,1.62162162162,
SY,2018-2,4.90909090909,3.73862696443,,4.32385893676
SZ,2018-2,,,,
SD,2018-2,0.590909090909,4.32012233975,0.527704485488,1.81291197205
VC,2018-2,4.54545454545,0.848157321924,,2.69680593369
PM,2018-2,,,,
SS,2018-2,,,,
GS,2018-2,,,,
SB,2018-2,,,9.85221674877,
SX,2018-2,,,12.1212121212,
SC,2018-2,,5.96306068602,21.0526315789,13.5078461325
SN,2018-2,1.95454545455,,6.16438356164,4.05946450809
ST,2018-2,,,,
WS,2018-2,,,11.1764705882,
RO,2018-2,3.68181818182,1.55948109302,0.719584569733,1.98696128152
RE,2018-2,2.13636363636,,14.8148148148,8.47558922559
QA,2018-2,6.5,1.56023472558,2.95103957076,3.67042476545
PA,2018-2,3.86363636364,4.73001255756,4.44724145165,4.34696345761
PW,2018-2,,,,
OM,2018-2,1.81818181818,1.15223819721,10.6100795756,4.52683319699
NO,2018-2,7.0,5.75297831178,0.865773706829,4.5395840062
MP,2018-2,,,,
NE,2018-2,7.27272727273,,,
NP,2018-2,8.5,3.82350950802,16.4383561644,9.58728855747
ME,2018-2,,,1.28824476651,
MN,2018-2,0.772727272727,,0.824742268041,0.798734770384
MC,2018-2,,,10.3448275862,
MD,2018-2,2.45454545455,,1.50742629129,1.98098587292
MU,2018-2,1.90909090909,8.33394793126,4.19947506562,4.81417130199
MR,2018-2,,,7.58293838863,
KR,2018-2,4.04545454545,1.49745376067,0.501461606103,2.01478997074
MV,2018-2,4.54545454545,4.055994257,,4.30072440123
MW,2018-2,,,20.8333333333,
MO,2018-2,,,11.6788321168,
LU,2018-2,0.5,5.44053923929,5.2016985138,3.71407925103
LT,2018-2,0.727272727273,,0.160074701527,0.4436737144
LI,2018-2,,,0.576368876081,
LR,2018-2,,23.2510288066,,
LS,2018-2,,17.199391172,,
LB,2018-2,3.5,1.81191373366,0.121580547112,1.81116476026
LV,2018-2,2.09090909091,2.83279017298,0.618556701031,1.84741865497
KW,2018-2,0.363636363636,0.541006367597,,0.452321365617
KE,2018-2,14.5,6.66182939549,5.10429447853,8.75537462467
KZ,2018-2,7.77272727273,6.43966376977,2.56384971896,5.59208025382
PS,2018-2,,,0.265164070268,
JE,2018-2,,,,
YE,2018-2,,3.67061880786,,
IM,2018-2,,15.0867823765,4.21052631579,9.64865434615
IS,2018-2,,5.15824710895,1.03914097679,3.09869404287
GW,2018-2,,,,
GN,2018-2,,,,
GG,2018-2,,,,
GR,2018-2,2.68181818182,3.86820710312,3.162885417,3.23763690065
GM,2018-2,,,,
GF,2018-2,,,,
FJ,2018-2,7.0,34.486266531,15.0427350427,18.8430005246
FO,2018-2,,,,
FK,2018-2,,,,
ER,2018-2,,,,
DJ,2018-2,,,,
DK,2018-2,8.81818181818,11.6647897898,3.55425465189,8.01240875329
CY,2018-2,0.181818181818,3.08069792803,1.03392568659,1.43214726548
HR,2018-2,2.95454545455,2.41092383188,0.251635631605,1.87236830601
CI,2018-2,1.86363636364,5.13636363636,2.0942408377,3.03141361257
CK,2018-2,,,,
CD,2018-2,1.5,7.16550412175,3.87275242047,4.17941884741
CG,2018-2,,,,
CC,2018-2,,,1.20048019208,
CX,2018-2,,,,
CN,2018-2,1.18181818182,2.08756696841,0.944141204648,1.40450878496
TD,2018-2,,,,
CM,2018-2,0.727272727273,47.7143381678,,24.2208054475
BI,2018-2,,,5.55555555556,
BG,2018-2,2.13636363636,2.44747671648,1.1934954498,1.92577860088
VG,2018-2,,,0.860215053763,
IO,2018-2,,,5.94479830149,
BV,2018-2,,,,
BA,2018-2,1.13636363636,,0.0417101147028,0.589036875533
JO,2018-2,0.0909090909091,6.28965824335,,3.19028366713
BT,2018-2,2.86363636364,,,
BJ,2018-2,1.13636363636,21.6336949585,,11.3850292974
BY,2018-2,2.22727272727,5.38608198284,1.47517730496,3.02951067169
BB,2018-2,,,,
BD,2018-2,3.54545454545,3.61060815848,0.0973709834469,2.41781122913
EG,2018-2,1.40909090909,0.817688442211,0.79295154185,1.00657696438
