country,month,newsrate
GM,2017-11,0
CG,2017-11,0
JE,2017-11,0
MS,2017-11,0
MG,2017-11,0
BB,2017-11,0
YE,2017-11,0.0031446540880503146
SY,2017-11,0.00558659217877095
SZ,2017-11,0
TL,2017-11,0.013452914798206279
SD,2017-11,0.0016286644951140066
SN,2017-11,0.02564102564102564
SM,2017-11,0.01662049861495845
PW,2017-11,0
MN,2017-11,0.0028216704288939053
KW,2017-11,0.009708737864077669
JO,2017-11,0
IQ,2017-11,0
FO,2017-11,0
DJ,2017-11,0
IO,2017-11,0
AG,2017-11,0.016129032258064516
AL,2017-11,0.0008733624454148472
BD,2017-11,0
CI,2017-11,0.0313588850174216
MT,2017-11,0.014598540145985401
MW,2017-11,0
IM,2017-11,0.026525198938992044
VA,2017-11,0.034764826175869123
MU,2017-11,0.008830022075055188
NC,2017-11,0.008928571428571428
QA,2017-11,0.017958412098298678
GI,2017-11,0.05194805194805195
ET,2017-11,0.1794871794871795
AI,2017-11,0.023809523809523808
SK,2017-11,0.0027502376748607905
PR,2017-11,0.01770657672849916
KN,2017-11,0
KG,2017-11,0.008392341987936008
MC,2017-11,0.018633540372670808
MZ,2017-11,0.03755868544600939
GA,2017-11,0.011363636363636364
TZ,2017-11,0.010193679918450561
AF,2017-11,0.005434782608695652
LY,2017-11,0.0026223776223776225
ST,2017-11,0
KY,2017-11,0.014506769825918761
MV,2017-11,0.0005115089514066496
PG,2017-11,0.05506883604505632
OM,2017-11,0.04057971014492753
BN,2017-11,0.005797101449275362
AX,2017-11,0.011019283746556474
CY,2017-11,0.009269558769002595
LU,2017-11,0.031142611683848798
LT,2017-11,0.0015798976828167318
BZ,2017-11,0.0003035571377321522
RE,2017-11,0.06415094339622641
MA,2017-11,0.006331811263318113
EG,2017-11,0.002255503428365211
SV,2017-11,0.01913536498936924
AM,2017-11,0.002267402312750359
VC,2017-11,0
VE,2017-11,0.008478753820368726
NI,2017-11,0.022106631989596878
CF,2017-11,0.023323615160349854
PA,2017-11,0.013235294117647059
LK,2017-11,0.014526246285902938
SO,2017-11,0.05168986083499006
KZ,2017-11,0.004695215737067919
ZW,2017-11,0.022357723577235773
NP,2017-11,0
TN,2017-11,0.012857142857142857
SA,2017-11,0.0032729653065677504
TO,2017-11,0.014423076923076924
IR,2017-11,0.007995614445588373
MM,2017-11,0.013348164627363738
KE,2017-11,0.01687471104946833
NA,2017-11,0.02169869807811531
PF,2017-11,0.05343511450381679
GR,2017-11,0.010554643425876776
PH,2017-11,0.00975943308261329
CW,2017-11,0
CZ,2017-11,0.004442767928245107
EC,2017-11,0.018069973087274125
AT,2017-11,0.007293161166905786
GG,2017-11,0
IL,2017-11,0.002621350447437404
JP,2017-11,0.0005070931196121356
TV,2017-11,0.0072921108742004265
GH,2017-11,0.026881720430107527
NO,2017-11,0.002029330591482223
CR,2017-11,0.010580575149213239
KI,2017-11,0.13043478260869565
AR,2017-11,0.0034616821249888207
TK,2017-11,0.015957446808510637
GT,2017-11,0.014749262536873156
BG,2017-11,0.003628410954818828
FI,2017-11,0.004922264241551113
DK,2017-11,0.01066616766467066
ZM,2017-11,0.019157088122605363
CC,2017-11,0.0052
SE,2017-11,0.004828480003670104
FM,2017-11,0.015650548937164215
PY,2017-11,0.003052666890305267
PK,2017-11,0.02550743514598936
GD,2017-11,0
SR,2017-11,0.013157894736842105
HK,2017-11,0.007203962179198559
PL,2017-11,0.0016135422707879944
AE,2017-11,0.01895155127617301
TH,2017-11,0.004557751117384145
TW,2017-11,0.0012470477090222012
ZA,2017-11,0.01436367605326348
KS,2017-11,0.0081419624217119
KR,2017-11,0.0032881577964067646
SC,2017-11,0.15625
NG,2017-11,0.011222869242985706
MX,2017-11,0.014681344009219355
LI,2017-10,0.02753623188405797
PS,2017-11,0.0012363996043521265
TN,2017-10,0.00784313725490196
LA,2017-10,0.037037037037037035
DZ,2017-11,0
LV,2017-10,0.001075268817204301
DK,2017-10,0.01386023145240872
EC,2017-10,0.016112789526686808
ML,2017-11,0.020833333333333332
HK,2017-10,0.009009009009009009
MK,2017-11,0.000046182976954694497
HT,2017-10,0
WS,2017-11,0.014321295143212951
MZ,2017-10,0.05714285714285714
BF,2017-11,0.011627906976744186
VA,2017-10,0.006578947368421052
AU,2017-10,0.02245641984007843
KW,2017-10,0
ID,2017-10,0.038725397017401374
IE,2017-10,0.013515363032915896
CU,2017-11,0.04198302813756141
EG,2017-10,0.002536997885835095
BR,2017-11,0.017689519000453163
BZ,2017-10,0.00028993911278631486
CN,2017-11,0.0027582660324213136
CI,2017-10,0
IO,2017-10,0.007462686567164179
MY,2017-10,0.010673536989326464
CM,2017-10,0
BW,2017-10,0
MS,2017-10,0
BA,2017-10,0
BD,2017-10,0.0017857142857142857
AW,2017-10,0
KG,2017-10,0.007651363938789089
AM,2017-10,0.001999077348915885
AS,2017-10,0
SG,2017-10,0.0074410567972799735
VG,2017-10,0.017857142857142856
US,2017-11,0.00992453685373752
RS,2017-11,0.00014105566056365842
AX,2017-10,0.14634146341463414
BO,2017-11,0.024871693643900513
