country,month,twitterrate
BL,2017-11,0
NU,2017-11,0
MS,2017-11,0
BQ,2017-11,0
ST,2017-11,0
AQ,2017-11,0
NA,2017-11,0
KM,2017-11,0
WF,2017-11,0
PW,2017-11,0
EH,2017-11,0
CK,2017-11,0
NC,2017-11,0
ER,2017-11,0.005714285714285714
FO,2017-11,0
WS,2017-11,0.004672897196261682
AS,2017-11,0
FM,2017-11,0.04
TM,2017-11,0
NR,2017-11,0
VU,2017-11,0
AX,2017-11,0
GN,2017-11,0
AZ,2017-11,0.0002573340195573855
SH,2017-11,0
GM,2017-11,0.002145922746781116
GL,2017-11,0
TL,2017-11,0
UM,2017-11,0.009900990099009901
CY,2017-11,0.00021043771043771043
SX,2017-11,0
AD,2017-11,0
CW,2017-11,0
CG,2017-11,0
VI,2017-11,0
SL,2017-11,0.0012642225031605564
BI,2017-11,0
CF,2017-11,0
TO,2017-11,0
HR,2017-11,0.00033869602032176124
NE,2017-11,0.002967359050445104
MW,2017-11,0.0009165902841429881
MD,2017-11,0
DJ,2017-11,0.0018552875695732839
SR,2017-11,0
PF,2017-11,0.0017574692442882249
MN,2017-10,0
VC,2017-10,0.00025700334104343357
SS,2017-10,0
AI,2017-10,0
NZ,2017-10,0.0010966326925557993
LY,2017-10,0.000586051963274077
JO,2017-10,0.0001838235294117647
MO,2017-10,0
TK,2017-11,0
GY,2017-10,0
BW,2017-10,0
XK,2017-11,0
DJ,2017-10,0
MC,2017-11,0.0025795356835769563
GR,2017-10,0.0005913223445930963
IE,2017-11,0.001127170257249341
BR,2017-11,0.00009670456028237731
TV,2017-11,0.02564102564102564
TO,2017-10,0
PG,2017-10,0
LS,2017-10,0
PS,2017-10,0
KP,2017-10,0
AF,2017-11,0.0005589714924538849
NE,2017-10,0
KZ,2017-10,0
LB,2017-11,0.00026907760198041116
AD,2017-10,0
AM,2017-10,0
GQ,2017-11,0
AM,2017-11,0
GU,2017-10,0
GL,2017-10,0
CF,2017-10,0
ET,2017-10,0.0010741138560687433
DE,2017-10,0.0005384822493172814
ML,2017-10,0
JE,2017-10,0.0012836970474967907
RU,2017-11,0.0002514214984721309
UZ,2017-11,0.0005659309564233164
CG,2017-10,0
ER,2017-10,0
ME,2017-10,0
BF,2017-10,0
XK,2017-10,0
AZ,2017-10,0
AG,2017-10,0
KI,2017-10,0
BY,2017-10,0.0007412898443291327
RW,2017-10,0.0024479804161566705
VI,2017-10,0
MG,2017-10,0.00046125461254612545
TF,2017-11,0
GW,2017-10,0
RS,2017-10,0.00016353229762878168
GI,2017-10,0.002036659877800407
UG,2017-11,0.0005473453749315818
BN,2017-10,0
KM,2017-10,0
KH,2017-10,0
TZ,2017-10,0.001084010840108401
MS,2017-10,0
DM,2017-11,0
MQ,2017-10,0.0006265664160401002
UY,2017-10,0.0005000500050005
TM,2017-10,0
SB,2017-11,0
TC,2017-11,0
AO,2017-10,0
BL,2017-10,0
IN,2017-10,0.00045640235234261603
MZ,2017-11,0
MW,2017-10,0
HU,2017-11,0.00044569900460555636
BT,2017-10,0
MC,2017-10,0.0017985611510791368
HR,2017-10,0.0011094674556213018
UY,2017-11,0.0003726811840980794
GU,2017-11,0
TD,2017-11,0
CY,2017-10,0.000869187309865276
NP,2017-10,0.0006127450980392157
DK,2017-11,0.0014790711433219938
SZ,2017-10,0
SC,2017-10,0.0005428881650380022
SD,2017-10,0
RO,2017-10,0.0007639419404125286
CM,2017-11,0.003071991451849873
DZ,2017-10,0.0009700497150478962
CL,2017-11,0.0006071716310731758
SO,2017-10,0.0002615062761506276
YE,2017-10,0.000814442785394326
KE,2017-10,0.0004521156352224675
TT,2017-10,0.0006841505131128849
PE,2017-11,0.00042611941570505716
LV,2017-11,0.00023940627244433804
OM,2017-10,0.0010699001426533524
JM,2017-11,0.000574136962204686
KY,2017-10,0
TJ,2017-10,0
RU,2017-10,0.0005549152687070474
BZ,2017-10,0.0009475679090334807
LB,2017-10,0.0005387205387205387
PL,2017-10,0.0002456485120718697
VN,2017-10,0
PF,2017-10,0
CZ,2017-10,0.0008372871895060006
RE,2017-10,0
NG,2017-10,0.00021782763610337478
PH,2017-10,0.00010997107760658947
IR,2017-10,0.0007090522335145356
IM,2017-10,0
LA,2017-11,0.0010209290454313426
ML,2017-11,0.0004752851711026616
KN,2017-11,0
EC,2017-10,0.0012265069802676672
MH,2017-10,0
WS,2017-10,0
SA,2017-10,0.0002702763575756211
AT,2017-10,0.0004335886688827865
EG,2017-10,0.00020186981920034317
