"x"
"Homo sapiens"
"Ursus arctos"
"Salvia divinorum"
"Accipiter gentilis"
"Amorphophallus titanum"
"Ginkgo biloba"
"Aloe vera"
"Salvia hispanica"
"Canis lupus"
"Eubalaena japonica"
"Mitragyna speciosa"
"Crocodylus niloticus"
"Tyrannosaurus rex"
"Hypericum perforatum"
"Panthera leo"
"Moringa oleifera"
"Bubo virginianus"
"Felis catus"
"Balaenoptera acutorostrata"
"Conium maculatum"
"Panthera tigris"
"Bos taurus"
"Crocuta crocuta"
"Ursus maritimus"
"Acinonyx jubatus"
"Glycine max"
"Agkistrodon piscivorus"
"Canis latrans"
"Orcinus orca"
"Sarcophilus harrisii"
"Polemaetus bellicosus"
"Vulpes vulpes"
"Procyon lotor"
"Raphus cucullatus"
"Azadirachta indica"
"Physeter macrocephalus"
"Sequoia sempervirens"
"Chelonoidis duncanensis"
"Bubo bubo"
"Datura stramonium"
"Delphinapterus leucas"
"Triturus carnifex"
"Sequoiadendron giganteum"
"Sus scrofa"
"Ectopistes migratorius"
"Nepenthes rajah"
"Urtica dioica"
"Struthio camelus"
"Zea mays"
"Passiflora edulis"
"Rangifer tarandus"
"Crocodylus porosus"
"Maclura pomifera"
"Chrysemys picta"
"Nelumbo nucifera"
"Papaver somniferum"
"Boa constrictor"
"Cocos nucifera"
"Ursus americanus"
"Panthera onca"
"Toxicodendron radicans"
"Puma concolor"
"Passer domesticus"
"Enhydra lutris"
"Balaenoptera physalus"
"Aesculus hippocastanum"
"Agkistrodon contortrix"
"Cannabis sativa"
"Haliaeetus leucocephalus"
"Bubo lacteus"
"Alces alces"
"Panthera pardus"
"Alces americanus"
"Aquila chrysaetos"
"Balaenoptera musculus"
"Theobroma cacao"
"Lycaon pictus"
"Megalosaurus bucklandii"
"Stephanoaetus coronatus"
"Sturnus vulgaris"
"Ovis aries"
"Phytolacca americana"
"Ocimum tenuiflorum"
"Canis aureus"
"Camelus dromedarius"
"Vicia faba"
"Allosaurus fragilis"
"Momordica charantia"
"Carcharodon carcharias"
"Phascolarctos cinereus"
"Allosaurus europaeus"
"Camellia sinensis"
"Taxus baccata"
"Solanum tuberosum"
"Ciconia ciconia"
"Thunnus maccoyii"
"Eubalaena australis"
"Archaeopteryx lithographica"
"Picea glauca"
"Triticum turgidum"
"Triticum sphaerococcum"
"Ailanthus altissima"
"Eschrichtius robustus"
"Castor canadensis"
"Bison bison"
"Arabidopsis thaliana"
"Garcinia gummi-gutta"
"Lepidium meyenii"
"Odocoileus virginianus"
"Solanum lycopersicum"
"Ursus thibetanus"
"Salvia officinalis"
"Oryzomys palustris"
"Symphyotrichum novi-belgii"
"Megaptera novaeangliae"
"Ceratonia siliqua"
"Cavia porcellus"
"Eubalaena glacialis"
"Juglans nigra"
"Iguanodon bernissartensis"
"Delapparentia turolensis"
"Iguanodon galvensis"
"Stegosaurus ungulatus"
"Stegosaurus armatus"
"Stegosaurus stenops"
"Strigops habroptila"
"Ailuropoda melanoleuca"
"Cuon alpinus"
"Oryzomys couesi"
"Psittacosaurus xinjiangensis"
"Chelonia mydas"
"Acer rubrum"
"Psittacosaurus neimongoliensis"
"Psittacosaurus lujiatunensis"
"Falco peregrinus"
"Psittacosaurus sinensis"
"Psittacosaurus gobiensis"
"Psittacosaurus sibiricus"
"Psittacosaurus major"
"Psittacosaurus meileyingensis"
"Psittacosaurus mongoliensis"
"Triceratops horridus"
"Stegoceras validum"
"Yixianopterus jingangshanensis"
"Stegoceras novomexicanum"
"Oncorhynchus mykiss"
"Eunectes murinus"
"Vipera berus"
"Mustela putorius"
"Triceratops prorsus"
"Lontra canadensis"
"Olea europaea"
"Meles meles"
"Hippopotamus amphibius"
"Thylacinus cynocephalus"
"Corvus corax"
"Carex morrowii"
"Tribulus terrestris"
"Carex glacialis"
"Carex hirtissima"
"Carex chosenica"
"Carex harfordii"
"Carex setosa"
"Carex caduca"
"Carex merritt-fernaldii"
"Carex chihuahuensis"
"Carex bichenoviana"
"Carex bulbostylis"
"Carex cryptolepis"
"Carex fissuricola"
"Carex fluviatilis"
"Carex fusanensis"
"Carex lanceolata"
"Carex abscondita"
"Carex amplectens"
"Carex mesochorea"
"Carex pisiformis"
