Abies balsamea
Abrus precatorius
Acacia koa
Acacia pycnantha
Acca sellowiana
Accipiter gentilis
Accipiter nisus
Acer negundo
Acer palmatum
Acer platanoides
Acer pseudoplatanus
Acer rubrum
Acer saccharinum
Acer saccharum
Achillea millefolium
Acinonyx jubatus
Acmella oleracea
Acorus calamus
Actaea racemosa
Actinidia arguta
Adansonia digitata
Addax nasomaculatus
Aegle marmelos
Aepyceros melampus
Aesculus glabra
Aesculus hippocastanum
Aframomum melegueta
Agalychnis callidryas
Agathis australis
Agave americana
Agave tequilana
Agkistrodon contortrix
Agkistrodon piscivorus
Ailanthus altissima
Ailuropoda melanoleuca
Ailurus fulgens
Albizia julibrissin
Alcelaphus buselaphus
Alces alces
Alces americanus
Aleurites moluccanus
Alliaria petiolata
Alligator mississippiensis
Allium cepa
Allium sativum
Allium tricoccum
Allium tuberosum
Alnus glutinosa
Aloe vera
Alopias vulpinus
Alouatta palliata
Aloysia citrodora
Althaea officinalis
Amazona vittata
Amblyrhynchus cristatus
Ambystoma macrodactylum
Amia calva
Amorphophallus titanum
Anadenanthera peregrina
Ananas comosus
Anas platyrhynchos
Anatotitan copei
Andrias davidianus
Andrographis paniculata
Angelica archangelica
Angraecum sesquipedale
Anguis fragilis
Annona cherimola
Annona muricata
Annona reticulata
Annona squamosa
Anthochaera carunculata
Antidorcas marsupialis
Antilocapra americana
Antilope cervicapra
Aptenodytes forsteri
Aquila chrysaetos
Aquila verreauxii
Arabidopsis thaliana
Arachis hypogaea
Araucaria araucana
Arbutus menziesii
Arbutus unedo
Architeuthis dux
Arctictis binturong
Ardeotis kori
Armoracia rusticana
Arnica montana
Artemisia absinthium
Artemisia annua
Artemisia tridentata
Artocarpus heterophyllus
Arundo donax
Asclepias syriaca
Asimina triloba
Asparagus officinalis
Asplenium platyneuron
Atractosteus spatula
Atropa baetica
Atropa bella-donna
Avena sativa
Axis axis
Azadirachta indica
Backhousia citriodora
Bacopa monnieri
Balaena mysticetus
Balaenoptera acutorostrata
Balaenoptera bonaerensis
Balaenoptera borealis
Balaenoptera brydei
Balaenoptera edeni
Balaenoptera musculus
Balaenoptera omurai
Balaenoptera physalus
Banisteriopsis caapi
Banksia aemula
Banksia coccinea
Banksia cuneata
Banksia ericifolia
Banksia integrifolia
Banksia marginata
Banksia menziesii
Banksia prionotes
Banksia sessilis
Banksia spinulosa
Basella alba
Bellis perennis
Berberis vulgaris
Beta vulgaris
Betula papyrifera
Betula pendula
Biomphalaria glabrata
Bison bison
Bison bonasus
Bitis arietans
Bixa orellana
Boa constrictor
Borassus flabellifer
Boselaphus tragocamelus
Bothrops asper
Bothrops insularis
Branta canadensis
Brassica juncea
Bubalus bubalis
Bubalus mindorensis
Bubo bubo
Bubo lacteus
Bubo virginianus
Bufo bufo
Butea monosperma
Buteo jamaicensis
Buteo regalis
Calendula officinalis
Calyptorhynchus banksii
Calyptorhynchus funereus
Calyptorhynchus latirostris
Camelina sativa
Camellia japonica
Camellia sinensis
Campephilus principalis
Cananga odorata
Canis anthus
Canis aureus
Canis latrans
Canis lupus
Canis mesomelas
Canis simensis
Capra falconeri
Capricornis crispus
Caprimulgus europaeus
Capsicum annuum
Caracal caracal
Caranx hippos
Caranx ignobilis
Caranx melampygus
Carassius auratus
Carcharhinus brachyurus
Carcharhinus falciformis
Carcharhinus leucas
Carcharhinus longimanus
Carcharhinus melanopterus
Carcharhinus obscurus
Carcharias taurus
Carcharias tricuspidatus
Carcharodon carcharias
Caretta caretta
Carex abscondita
Carex accrescens
Carex acutata
Carex aggregata
Carex alligata
Carex amicta
Carex amplectens
Carex andersonii
Carex aperta
Carex arctata
Carex arctiformis
Carex atrosquama
Carex atroviridis
Carex austrina
Carex austrokoreensis
Carex autumnalis
Carex aztecica
Carex banksii
Carex barbata
Carex bichenoviana
Carex biltmoreana
Carex brachyanthera
Carex brainerdii
Carex bulbostylis
Carex caduca
Carex capillacea
Carex chihuahuensis
Carex chosenica
Carex clivorum
Carex colensoi
Carex collifera
Carex conica
Carex conjuncta
Carex conspecta
Carex cryptolepis
Carex cumulata
Carex daltonii
Carex darwinii
Carex davyi
Carex decidua
Carex declinata
Carex decora
Carex desponsa
Carex dispalata
Carex dissitispicula
Carex echinus
Carex egglestonii
Carex finitima
Carex fissa
Carex fissuricola
Carex fluviatilis
Carex fragilis
Carex fusanensis
Carex genkaiensis
Carex geophila
Carex glabrescens
Carex glacialis
Carex globosa
Carex gotoi
Carex gracilior
Carex gunniana
Carex harfordii
Carex harlandii
Carex hebetata
Carex hilairei
Carex hirsutella
Carex hirtissima
Carex horsfieldii
Carex hyalina
Carex incisa
Carex incurviformis
Carex insignis
Carex integra
Carex jackiana
Carex jamesonii
Carex laeta
Carex laevivaginata
Carex lambertiana
Carex lanceolata
Carex lemanniana
Carex leptopoda
Carex ligata
Carex longii
Carex luzulifolia
Carex maculata
Carex manca
Carex merritt-fernaldii
Carex mesochorea
Carex microrhyncha
Carex mollicula
Carex morrowii
Carex munda
Carex nelsonii
Carex normalis
Carex oklahomensis
Carex olivacea
Carex papulosa
Carex pisiformis
Carex pityophila
Carex polycephala
Carex projecta
Carex purpurifera
Carex scabriuscula
Carex scitula
Carex setosa
Carex spachiana
Carex subbracteata
Carex subdola
Carex tenebrosa
Carex thomsonii
Carex triquetra
Carex unilateralis
Carex wootonii
Carya alba
Cassia fistula
Castanea dentata
Castanea sativa
Castor canadensis
Castor fiber
Catha edulis
Catharanthus roseus
Cathartes aura
Catopuma temminckii
Cavia porcellus
Cebus albifrons
Cebus capucinus
Cedrus deodara
Cedrus libani
Ceiba pentandra
Centaurea cyanus
Centella asiatica
Centrocercus urophasianus
Ceratonia siliqua
Ceratotherium simum
Cercis canadensis
Cervus elaphus
Cestrum nocturnum
Chaetura pelagica
Chelonia mydas
Chelonoidis duncanensis
Chenopodium album
Chlorophytum comosum
Chrysemys picta
Chrysomallon squamiferum
Chrysopogon zizanioides
Cicer arietinum
Cichorium intybus
Ciconia ciconia
Ciconia maguari
Ciconia nigra
Cinnamomum camphora
Cinnamomum cassia
Cirsium arvense
Citrullus colocynthis
Clitoria ternatea
Coccinia grandis
Cocos nucifera
Colobus guereza
Coloeus monedula
Coluber constrictor
Condylura cristata
Confuciusornis dui
Confuciusornis feducciai
Confuciusornis sanctus
Conium maculatum
Connochaetes gnou
Connochaetes taurinus
Coragyps atratus
Cordyline australis
Cornu aspersum
Cornus florida
Cornus kousa
Corvus corax
Corvus coronoides
Corvus tasmanicus
Crassula ovata
Crataegus monogyna
Crex crex
Crocodylus acutus
Crocodylus niloticus
Crocodylus porosus
Crocuta crocuta
Crotalus adamanteus
Crotalus atrox
Crotalus cerastes
Crotalus horridus
Crotalus scutulatus
Crotalus viridis
Cryptoprocta ferox
Ctenium aromaticum
Cuculus canorus
Cucumis metuliferus
Cucurbita maxima
Cucurbita pepo
Cuon alpinus
Cupressus sempervirens
Cyanopsitta spixii
Cycas revoluta
Cyclura lewisi
Cyclura nubila
Cynodon dactylon
Cyperus esculentus
Cyperus papyrus
Cyperus rotundus
Cyrtodactylus malayanus
Daboia russelii
Dalbergia sissoo
Danio rerio
Datura stramonium
Daucus carota
Deinocheirus mirificus
Deinonychus antirrhopus
Delapparentia turolensis
Delonix regia
Delphinapterus leucas
Dendroaspis polylepis
Dendrocnide moroides
Dermochelys coriacea
Dianthus caryophyllus
Dicerorhinus sumatrensis
Diceros bicornis
Dionaea muscipula
Dioscorea alata
Diospyros kaki
Diospyros virginiana
Dipteryx odorata
Dissostichus mawsoni
Dracaena cinnabari
Dromaius novaehollandiae
Drosera villosa
Dugong dugon
Dysphania ambrosioides
Echinacea purpurea
Echinopsis pachanoi
Echis carinatus
Ectopistes migratorius
Eichhornia crassipes
Elaeis guineensis
Elaphurus davidianus
Eleocharis dulcis
Elephas maximus
Eleusine coracana
Elysia chlorotica
Enhydra lutris
Enteroctopus dofleini
Eolambia caroljonesa
Epipremnum aureum
Eragrostis tef
Eretmochelys imbricata
Eryngium foetidum
Eschrichtius robustus
Eschscholzia californica
Eubalaena australis
Eubalaena glacialis
Eubalaena japonica
Eucalyptus camaldulensis
Eucalyptus deglupta
Eucalyptus globulus
Eucalyptus regnans
Eudocimus albus
Eudyptula minor
Eunectes murinus
Euoplocephalus tutus
Eurycoma longifolia
Fagus grandifolia
Fagus sylvatica
Falco columbarius
Falco peregrinus
Falco sparverius
Felis chaus
Felis margarita
Felis silvestris
Festuca arundinacea
Ficus benjamina
Ficus carica
Ficus macrophylla
Ficus platypoda
Ficus religiosa
Fiona pinnata
Fragaria ananassa
Fratercula arctica
Fraxinus americana
Fraxinus excelsior
Fraxinus pennsylvanica
Fregilupus varius
Gadus morhua
Galeocerdo cuvier
Galium aparine
Garcinia gummi-gutta
Garcinia indica
Gavia arctica
Gavia immer
Gavia stellata
Gavialis gangeticus
Geronticus eremita
Ginkgo biloba
Glaucus atlanticus
Glechoma hederacea
Globicephala melas
Glyphis gangeticus
Glyphis garricki
Glyphis glyphis
Glyptemys muhlenbergii
Gopherus agassizii
Gopherus morafkai
Gopherus polyphemus
Grus americana
Grus antigone
Gulo gulo
Gymnema sylvestre
Gymnogyps californianus
Gymnorhina tibicen
Gymnorhinus cyanocephalus
Gynostemma pentaphyllum
Haliaeetus albicilla
Haliaeetus leucocephalus
Haliaeetus leucogaster
Haliaeetus pelagicus
Harpia harpyja
Hedera helix
Helianthus annuus
Hemitragus jemlahicus
Heracleum mantegazzianum
Heteralocha acutirostris
Heterocephalus glaber
Heterodontus portusjacksoni
Hevea brasiliensis
Hexaprotodon liberiensis
Hibiscus rosa-sinensis
Hippophae rhamnoides
Hippopotamus amphibius
Hippotragus leucophaeus
Hirundo rustica
Hordeum vulgare
Humulus lupulus
Hyacinthoides non-scripta
Hyaena hyaena
Hydrangea macrophylla
Hydrobates pelagicus
Hydrodamalis gigas
Hyoscyamus niger
Hypericum perforatum
Hyssopus officinalis
Iguana iguana
Ilex aquifolium
Ilex paraguariensis
Illicium verum
Inia geoffrensis
Ipomoea aquatica
Ipomoea batatas
Iris aphylla
Iris haynei
Isatis tinctoria
Istiodactylus latidens
Istiodactylus sinensis
Jacaranda mimosifolia
Jacobaea vulgaris
Jasminum sambac
Jatropha curcas
Juglans cinerea
Juglans nigra
Juglans regia
Juniperus communis
Juniperus virginiana
Kalmia latifolia
Kobus ellipsiprymnus
Lactuca sativa
Laevistrombus canarium
Lagenaria siceraria
Lagenorhynchus obscurus
Lamna nasus
Lanius excubitor
Lantana camara
Larix laricina
Larrea tridentata
Larus argentatus
Laticauda colubrina
Laurus nobilis
Lavandula angustifolia
Lemur catta
Leontopithecus rosalia
Leopardus pardalis
Lepidium meyenii
Lepidochelys olivacea
Leptailurus serval
Leucaena leucocephala
Limax maximus
Linum usitatissimum
Lipotes vexillifer
Liquidambar styraciflua
Liriodendron tulipifera
Lithobates catesbeianus
Litoria aurea
Lobatus gigas
Lonchura punctulata
Lontra canadensis
Lontra longicaudis
Lycaon pictus
Lycium barbarum
Lycoris radiata
Lynx canadensis
Lynx lynx
Lynx pardinus
Lynx rufus
Macaca fascicularis
Macaca fuscata
Macaca mulatta
Macaca sylvanus
Maccullochella peelii
Maclura pomifera
Madhuca longifolia
Magnolia grandiflora
Malaclemys terrapin
Malpighia emarginata
Malurus cyaneus
Malus pumila
Malva sylvestris
Mandragora hybrida
Mandragora officinarum
Mangifera indica
Manihot esculenta
Manilkara zapota
Manorina melanocephala
Martes americana
Martes pennanti
Mascarinus mascarin
Massospondylus carinatus
Medicago sativa
Megaptera novaeangliae
Megascops asio
Melaleuca quinquenervia
Meleagris gallopavo
Meles meles
Melia azedarach
Melicoccus bijugatus
Melissa officinalis
Mellivora capensis
Melopsittacus undulatus
Melursus ursinus
Mentha pulegium
Mephitis mephitis
Mespilus germanica
Metasequoia glyptostroboides
Metopium toxiferum
Metrosideros excelsa
Microcebus murinus
Mimosa pudica
Mimosa tenuiflora
Mimus polyglottos
Mirabilis jalapa
Mirounga angustirostris
Mirounga leonina
Mitragyna speciosa
Momordica charantia
Monachus monachus
Monachus schauinslandi
Monodon monoceros
Monstera deliciosa
Morelia spilota
Morinda citrifolia
Moringa oleifera
Morus alba
Morus bassanus
Mucuna pruriens
Musa acuminata
Mustela erminea
Mustela eversmanii
Mustela lutreola
Mustela nigripes
Mustela nivalis
Mustela putorius
Mycteria cinerea
Mycteria ibis
Myocastor coypus
Myotis alcathoe
Myotis sodalis
Myrmecophaga tridactyla
Negaprion brevirostris
Nelumbo nucifera
Nemegtomaia barsboldi
Neofelis nebulosa
Neolamarckia cadamba
Neophoca cinerea
Neophron percnopterus
Neovison vison
Nepenthes ampullaria
Nepenthes bicalcarata
Nepenthes edwardsiana
Nepenthes fusca
Nepenthes gracilis
Nepenthes lowii
Nepenthes mirabilis
Nepenthes northiana
Nepenthes rafflesiana
Nepenthes rajah
Nepenthes robcantleyi
Nepenthes villosa
Nepeta cataria
Nerium indicum
Nerium oleander
Nicotiana tabacum
Nigella sativa
Ninox boobook
Nyctanthes arbor-tristis
Nyctereutes procyonoides
Nycticebus coucang
Nycticebus pygmaeus
Nyssa sylvatica
Ochroma pyramidale
Ocimum basilicum
Ocimum tenuiflorum
Octopus vulgaris
Odobenus rosmarus
Odocoileus hemionus
Odocoileus virginianus
Oenothera biennis
Okapia johnstoni
Olea europaea
Oncorhynchus clarkii
Oncorhynchus mykiss
Oncorhynchus tshawytscha
Opuntia ficus-indica
Orcaella brevirostris
Orcinus orca
Ornithorhynchus anatinus
Oryx dammah
Oryza sativa
Oryzomys couesi
Oryzomys palustris
Osmanthus fragrans
Otus asio
Ovibos moschatus
Ovis canadensis
Oxyuranus microlepidotus
Pachira aquatica
Pachyrhizus erosus
Pan paniscus
Pan troglodytes
Pandanus amaryllifolius
Panicum virgatum
Panthera leo
Panthera onca
Panthera pardus
Panthera tigris
Papaver somniferum
Parthenium argentatum
Parthenocissus quinquefolia
Parus major
Passer domesticus
Passer montanus
Passer rutilans
Passiflora edulis
Passiflora incarnata
Paulownia tomentosa
Pavo cristatus
Peganum harmala
Pelecanus occidentalis
Perilla frutescens
Perisoreus canadensis
Peromyscus boylii
Peromyscus maniculatus
Perovskia atriplicifolia
Persea americana
Petaurus breviceps
Pezophaps solitaria
Pezophaps solitarius
Phaethon aethereus
Phascolarctos cinereus
Phaseolus lunatus
Phaseolus vulgaris
Phasianus colchicus
Philomachus pugnax
Phocoena sinus
Phoenicopterus ruber
Phoenix dactylifera
Phyllanthus emblica
Phyllanthus niruri
Physalis peruviana
Physeter macrocephalus
Phytolacca americana
Pica pica
Picathartes gymnocephalus
Picea abies
Picea glauca
Pinguicula caudata
Pinguicula macrophylla
Pinguicula moranensis
Pinguicula rectifolia
Pinguinus alfrednewtoni
Pinguinus impennis
Pinus contorta
Pinus longaeva
Pinus palustris
Pinus ponderosa
Pinus radiata
Pinus strobus
Pinus taeda
Piper nigrum
Pipilo erythrophthalmus
Piranga ludoviciana
Pistacia lentiscus
Pithecophaga jefferyi
Plantago major
Platanus occidentalis
Plectranthus amboinicus
Plectranthus scutellarioides
Plestiodon fasciatus
Podiceps grisegena
Podiceps nigricollis
Poecilia reticulata
Poecilodryas cerviniventris
Polemaetus bellicosus
Polyodon spathula
Populus tremuloides
Portulaca oleracea
Pouteria sapota
Prionace glauca
Prionailurus bengalensis
Prionailurus iriomotensis
Procyon lotor
Propithecus candidus
Propithecus tattersalli
Proteus anguinus
Protoavis texensis
Prunus avium
Prunus dulcis
Prunus mume
Prunus persica
Prunus serotina
Prunus spinosa
Prunus virginiana
Pseudechis australis
Pseudoryx nghetinhensis
Psidium guajava
Pteranodon longiceps
Pterodactylus antiquus
Pterodactylus longirostris
Pteronura brasiliensis
Pteropus poliocephalus
Puma concolor
Punica granatum
Pyrrhocorax graculus
Pyrrhocorax pyrrhocorax
Pyrus calleryana
Pyrus pyrifolia
Python molurus
Quelea quelea
Quercus alba
Quercus macrocarpa
Quercus palustris
Quercus robur
Quercus rubra
Quercus velutina
Quercus virginiana
Rafflesia arnoldii
Rallus aquaticus
Rangifer tarandus
Raphus cucullatus
Raphus solitarius
Rattus norvegicus
